symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PRI,Mid-Cap,"Feb 14, 2025",284.04,285.19,280.30,281.18,281.18,-1.04%,"127,732"
PRI,Mid-Cap,"Feb 13, 2025",279.18,285.08,277.57,284.14,284.14,1.87%,"136,651"
PRI,Mid-Cap,"Feb 12, 2025",282.81,283.16,270.67,278.93,278.93,-3.86%,"251,359"
PRI,Mid-Cap,"Feb 11, 2025",292.53,292.89,290.12,290.14,290.14,-1.03%,"189,286"
PRI,Mid-Cap,"Feb 10, 2025",295.32,297.78,292.84,293.16,293.16,-1.10%,"115,076"
PRI,Mid-Cap,"Feb 7, 2025",297.11,298.75,295.47,296.43,296.43,0.04%,"138,848"
PRI,Mid-Cap,"Feb 6, 2025",298.19,298.73,293.10,296.31,296.31,0.16%,"136,885"
PRI,Mid-Cap,"Feb 5, 2025",293.30,297.27,293.01,295.85,295.85,1.60%,"139,937"
PRI,Mid-Cap,"Feb 4, 2025",290.48,296.14,290.48,291.19,291.19,0.32%,"119,829"
PRI,Mid-Cap,"Feb 3, 2025",284.85,291.64,284.85,290.27,290.27,0.03%,"158,377"
PRI,Mid-Cap,"Jan 31, 2025",291.12,293.56,289.48,290.17,290.17,-0.38%,"106,241"
PRI,Mid-Cap,"Jan 30, 2025",293.92,295.06,290.12,291.28,291.28,-0.16%,"176,620"
PRI,Mid-Cap,"Jan 29, 2025",288.98,294.12,288.98,291.75,291.75,0.62%,"204,991"
PRI,Mid-Cap,"Jan 28, 2025",289.87,292.49,288.17,289.96,289.96,0.01%,"99,844"
PRI,Mid-Cap,"Jan 27, 2025",289.94,293.16,288.22,289.94,289.94,-0.09%,"113,232"
PRI,Mid-Cap,"Jan 24, 2025",291.70,292.63,288.63,290.21,290.21,-0.53%,"135,867"
PRI,Mid-Cap,"Jan 23, 2025",291.66,293.61,290.01,291.76,291.76,-0.46%,"113,899"
PRI,Mid-Cap,"Jan 22, 2025",294.24,294.59,291.49,293.12,293.12,-0.14%,"97,456"
PRI,Mid-Cap,"Jan 21, 2025",293.57,296.00,292.72,293.53,293.53,0.48%,"117,604"
PRI,Mid-Cap,"Jan 17, 2025",290.06,292.84,288.73,292.14,292.14,1.18%,"109,062"
PRI,Mid-Cap,"Jan 16, 2025",282.42,289.71,282.42,288.74,288.74,1.97%,"132,622"
PRI,Mid-Cap,"Jan 15, 2025",287.56,288.05,282.18,283.15,283.15,0.21%,"123,287"
PRI,Mid-Cap,"Jan 14, 2025",274.01,283.41,274.01,282.56,282.56,3.15%,"174,775"
PRI,Mid-Cap,"Jan 13, 2025",269.18,274.22,268.53,273.93,273.93,0.93%,"121,358"
PRI,Mid-Cap,"Jan 10, 2025",275.46,277.09,269.13,271.41,271.41,-2.53%,"133,419"
PRI,Mid-Cap,"Jan 8, 2025",275.97,278.66,273.16,278.45,278.45,0.90%,"149,564"
PRI,Mid-Cap,"Jan 7, 2025",275.91,277.75,273.31,275.97,275.97,0.27%,"135,873"
PRI,Mid-Cap,"Jan 6, 2025",276.40,279.82,274.91,275.24,275.24,-0.42%,"173,769"
PRI,Mid-Cap,"Jan 3, 2025",272.75,277.33,271.91,276.40,276.40,1.71%,"161,258"
PRI,Mid-Cap,"Jan 2, 2025",272.05,276.03,270.29,271.76,271.76,0.13%,"158,813"
PRI,Mid-Cap,"Dec 31, 2024",271.44,273.02,268.26,271.42,271.42,0.65%,"139,893"
PRI,Mid-Cap,"Dec 30, 2024",268.16,271.47,266.92,269.68,269.68,-0.34%,"94,500"
PRI,Mid-Cap,"Dec 27, 2024",270.54,273.48,269.73,270.59,270.59,-0.70%,"83,631"
PRI,Mid-Cap,"Dec 26, 2024",270.20,274.18,270.20,272.51,272.51,0.29%,"92,515"
PRI,Mid-Cap,"Dec 24, 2024",271.32,271.72,269.13,271.72,271.72,0.56%,"67,486"
PRI,Mid-Cap,"Dec 23, 2024",268.46,272.16,267.67,270.21,270.21,-0.48%,"126,243"
PRI,Mid-Cap,"Dec 20, 2024",266.05,271.50,264.96,271.50,271.50,1.75%,"860,779"
PRI,Mid-Cap,"Dec 19, 2024",269.00,271.46,266.22,266.84,266.84,-0.09%,"343,502"
PRI,Mid-Cap,"Dec 18, 2024",276.48,276.48,264.95,267.09,267.09,-3.10%,"235,606"
