symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
RRC,Mid-Cap,"Feb 14, 2025",39.03,39.62,38.57,38.67,38.67,-0.34%,"2,138,572"
RRC,Mid-Cap,"Feb 13, 2025",38.53,38.87,38.28,38.80,38.80,0.83%,"2,280,687"
RRC,Mid-Cap,"Feb 12, 2025",39.22,39.56,38.06,38.48,38.48,-2.75%,"2,369,362"
RRC,Mid-Cap,"Feb 11, 2025",39.76,40.10,39.40,39.57,39.57,-0.35%,"2,000,791"
RRC,Mid-Cap,"Feb 10, 2025",37.78,39.82,37.74,39.71,39.71,6.60%,"2,728,273"
RRC,Mid-Cap,"Feb 7, 2025",37.77,37.97,37.18,37.25,37.25,-1.01%,"1,349,891"
RRC,Mid-Cap,"Feb 6, 2025",39.00,39.00,37.10,37.63,37.63,-3.36%,"2,912,630"
RRC,Mid-Cap,"Feb 5, 2025",37.65,39.12,37.35,38.94,38.94,3.18%,"2,518,828"
RRC,Mid-Cap,"Feb 4, 2025",36.90,37.86,36.86,37.74,37.74,0.80%,"2,084,655"
RRC,Mid-Cap,"Feb 3, 2025",37.55,38.15,37.31,37.44,37.44,1.08%,"2,571,253"
RRC,Mid-Cap,"Jan 31, 2025",37.57,37.62,36.82,37.04,37.04,-1.41%,"2,396,713"
RRC,Mid-Cap,"Jan 30, 2025",37.82,38.61,37.36,37.57,37.57,-0.05%,"2,236,185"
RRC,Mid-Cap,"Jan 29, 2025",37.49,37.93,37.14,37.59,37.59,0.51%,"2,051,690"
RRC,Mid-Cap,"Jan 28, 2025",37.55,37.78,37.09,37.40,37.40,0.35%,"2,524,454"
RRC,Mid-Cap,"Jan 27, 2025",39.50,39.50,37.07,37.27,37.27,-7.22%,"4,773,222"
RRC,Mid-Cap,"Jan 24, 2025",40.56,40.61,40.00,40.17,40.17,-0.96%,"1,947,877"
RRC,Mid-Cap,"Jan 23, 2025",41.31,41.31,40.32,40.56,40.56,-1.07%,"3,130,722"
RRC,Mid-Cap,"Jan 22, 2025",41.00,41.95,40.77,41.00,41.00,0.07%,"2,338,450"
RRC,Mid-Cap,"Jan 21, 2025",40.69,41.04,40.42,40.97,40.97,-0.24%,"2,346,769"
