symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
WAL,Mid-Cap,"Feb 14, 2025",87.08,89.07,87.08,88.75,88.75,1.60%,"651,823"
WAL,Mid-Cap,"Feb 13, 2025",86.20,87.41,85.50,87.35,86.98,1.53%,"700,185"
WAL,Mid-Cap,"Feb 12, 2025",88.21,89.10,86.01,86.03,85.66,-3.97%,"944,684"
WAL,Mid-Cap,"Feb 11, 2025",86.69,89.61,86.69,89.59,89.21,2.27%,"600,027"
WAL,Mid-Cap,"Feb 10, 2025",89.94,89.94,87.45,87.60,87.23,-2.55%,"684,994"
WAL,Mid-Cap,"Feb 7, 2025",90.61,90.91,88.82,89.89,89.51,-0.79%,"750,813"
WAL,Mid-Cap,"Feb 6, 2025",89.62,90.83,88.92,90.61,90.22,2.07%,"787,484"
WAL,Mid-Cap,"Feb 5, 2025",87.37,89.32,86.15,88.77,88.39,2.52%,"1,093,295"
WAL,Mid-Cap,"Feb 4, 2025",85.05,87.85,84.50,86.59,86.22,2.61%,"791,912"
WAL,Mid-Cap,"Feb 3, 2025",85.01,87.01,83.95,84.39,84.03,-3.96%,"1,136,786"
WAL,Mid-Cap,"Jan 31, 2025",90.17,90.98,87.32,87.87,87.50,-1.70%,"1,250,673"
WAL,Mid-Cap,"Jan 30, 2025",89.19,91.39,88.87,89.39,89.01,1.52%,"1,021,888"
WAL,Mid-Cap,"Jan 29, 2025",89.00,89.75,87.86,88.05,87.68,-1.26%,"1,495,173"
WAL,Mid-Cap,"Jan 28, 2025",93.38,94.40,87.01,89.17,88.79,-5.14%,"2,617,328"
WAL,Mid-Cap,"Jan 27, 2025",92.13,94.25,91.77,94.00,93.60,2.01%,"2,322,350"
WAL,Mid-Cap,"Jan 24, 2025",91.40,93.20,90.75,92.15,91.76,0.82%,"1,070,577"
WAL,Mid-Cap,"Jan 23, 2025",92.50,93.68,91.26,91.40,91.01,-1.07%,"1,592,567"
WAL,Mid-Cap,"Jan 22, 2025",91.81,92.55,90.80,92.39,92.00,0.08%,"1,257,550"
WAL,Mid-Cap,"Jan 21, 2025",91.06,92.84,90.50,92.32,91.93,2.89%,"1,695,264"
WAL,Mid-Cap,"Jan 17, 2025",88.10,89.81,87.43,89.73,89.35,3.08%,"1,148,453"
WAL,Mid-Cap,"Jan 16, 2025",87.58,88.15,85.03,87.05,86.68,-0.93%,"1,324,274"
WAL,Mid-Cap,"Jan 15, 2025",87.62,88.25,85.95,87.87,87.50,5.13%,"1,668,988"
WAL,Mid-Cap,"Jan 14, 2025",81.09,83.65,80.26,83.58,83.22,4.62%,"957,947"
