symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
WYNN,Mid-Cap,"Feb 14, 2025",84.64,89.45,83.53,88.82,88.82,10.38%,"8,970,124"
WYNN,Mid-Cap,"Feb 13, 2025",80.85,81.95,79.70,80.47,80.47,2.68%,"7,598,754"
WYNN,Mid-Cap,"Feb 12, 2025",76.87,78.41,76.75,78.37,78.37,1.78%,"2,801,838"
WYNN,Mid-Cap,"Feb 11, 2025",78.15,78.43,76.96,77.00,77.00,-2.49%,"2,137,596"
WYNN,Mid-Cap,"Feb 10, 2025",80.61,81.08,78.71,78.97,78.97,-2.00%,"2,620,381"
WYNN,Mid-Cap,"Feb 7, 2025",80.74,82.22,80.28,80.58,80.58,-0.09%,"2,255,258"
WYNN,Mid-Cap,"Feb 6, 2025",82.41,82.70,80.27,80.65,80.65,-1.24%,"2,458,530"
WYNN,Mid-Cap,"Feb 5, 2025",82.40,82.60,81.22,81.66,81.66,-1.84%,"3,798,790"
WYNN,Mid-Cap,"Feb 4, 2025",83.13,84.47,83.08,83.19,83.19,-0.44%,"2,555,356"
WYNN,Mid-Cap,"Feb 3, 2025",84.32,84.74,83.10,83.56,83.56,-3.79%,"2,721,062"
WYNN,Mid-Cap,"Jan 31, 2025",89.60,89.61,85.82,86.85,86.85,-3.07%,"3,614,883"
WYNN,Mid-Cap,"Jan 30, 2025",87.15,89.75,86.72,89.60,89.60,6.53%,"2,790,027"
WYNN,Mid-Cap,"Jan 29, 2025",84.78,85.57,84.03,84.11,84.11,-0.26%,"1,559,783"
WYNN,Mid-Cap,"Jan 28, 2025",84.48,84.95,82.80,84.33,84.33,-0.52%,"1,919,318"
WYNN,Mid-Cap,"Jan 27, 2025",84.39,85.51,84.06,84.77,84.77,-0.26%,"2,268,238"
WYNN,Mid-Cap,"Jan 24, 2025",85.02,85.65,84.36,84.99,84.99,-0.11%,"1,418,351"
