symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ALVR,Nano-Cap,"Feb 14, 2025",9.87,9.96,9.87,9.90,9.90,0.20%,"1,801"
ALVR,Nano-Cap,"Feb 13, 2025",9.86,10.05,9.64,9.88,9.88,1.33%,"15,754"
ALVR,Nano-Cap,"Feb 12, 2025",10.00,10.00,9.60,9.75,9.75,-0.31%,"19,255"
ALVR,Nano-Cap,"Feb 11, 2025",10.00,10.00,9.54,9.78,9.78,0.72%,"8,421"
ALVR,Nano-Cap,"Feb 10, 2025",10.00,10.16,9.61,9.71,9.71,-3.38%,"20,504"
ALVR,Nano-Cap,"Feb 7, 2025",10.10,10.10,9.95,10.05,10.05,0.50%,"6,842"
ALVR,Nano-Cap,"Feb 6, 2025",10.31,10.31,9.96,10.00,10.00,-3.01%,"20,231"
ALVR,Nano-Cap,"Feb 5, 2025",10.15,10.38,10.02,10.31,10.31,2.49%,"11,859"
ALVR,Nano-Cap,"Feb 4, 2025",10.19,10.37,9.72,10.06,10.06,2.65%,"46,808"
ALVR,Nano-Cap,"Feb 3, 2025",9.40,10.29,9.40,9.80,9.80,4.03%,"95,817"
ALVR,Nano-Cap,"Jan 31, 2025",9.74,9.74,9.42,9.42,9.42,0.11%,"14,310"
ALVR,Nano-Cap,"Jan 30, 2025",9.97,9.97,9.41,9.41,9.41,-3.49%,"30,832"
ALVR,Nano-Cap,"Jan 29, 2025",10.00,10.00,9.57,9.75,9.75,0.52%,"5,941"
ALVR,Nano-Cap,"Jan 28, 2025",10.00,10.40,9.37,9.70,9.70,-2.51%,"59,637"
ALVR,Nano-Cap,"Jan 27, 2025",10.04,10.17,9.70,9.95,9.95,-1.58%,"34,371"
ALVR,Nano-Cap,"Jan 24, 2025",10.46,10.46,9.88,10.11,10.11,-0.79%,"28,805"
ALVR,Nano-Cap,"Jan 23, 2025",9.26,10.20,8.90,10.19,10.19,10.76%,"44,075"
ALVR,Nano-Cap,"Jan 22, 2025",9.66,9.66,8.88,9.20,9.20,-1.92%,"38,207"
ALVR,Nano-Cap,"Jan 21, 2025",9.60,9.76,9.01,9.38,9.38,1.08%,"65,266"
ALVR,Nano-Cap,"Jan 17, 2025",9.04,10.00,8.66,9.28,9.28,3.11%,"92,833"
ALVR,Nano-Cap,"Jan 16, 2025",8.64,9.35,7.96,9.00,9.00,2.68%,"128,572"
ALVR,Nano-Cap,"Jan 15, 2025",10.35,10.35,8.74,8.77,8.77,-4.73%,"71,334"
ALVR,Nano-Cap,"Jan 14, 2025",9.71,10.10,8.86,9.20,9.20,-2.44%,"9,379"
ALVR,Nano-Cap,"Jan 13, 2025",9.80,9.89,8.79,9.43,9.43,-6.62%,"77,400"
ALVR,Nano-Cap,"Jan 10, 2025",10.14,10.67,9.87,10.10,10.10,-2.38%,"12,058"
ALVR,Nano-Cap,"Jan 8, 2025",11.10,11.69,10.12,10.35,10.35,-5.60%,"8,596"
ALVR,Nano-Cap,"Jan 7, 2025",11.04,11.96,10.52,10.96,10.96,0.75%,"16,905"
ALVR,Nano-Cap,"Jan 6, 2025",10.79,11.15,10.35,10.88,10.88,4.15%,"13,284"
ALVR,Nano-Cap,"Jan 3, 2025",10.10,10.79,10.10,10.44,10.44,0.91%,"4,854"
ALVR,Nano-Cap,"Jan 2, 2025",10.58,10.80,9.89,10.35,10.35,7.14%,"13,495"
ALVR,Nano-Cap,"Dec 31, 2024",10.99,11.02,9.56,9.66,9.66,-6.23%,"21,957"
ALVR,Nano-Cap,"Dec 30, 2024",10.21,10.81,9.92,10.30,10.30,-1.99%,"8,391"
ALVR,Nano-Cap,"Dec 27, 2024",10.88,10.88,10.08,10.51,10.51,-3.40%,"7,262"
ALVR,Nano-Cap,"Dec 26, 2024",10.97,11.24,10.59,10.88,10.88,-0.24%,"3,266"
ALVR,Nano-Cap,"Dec 24, 2024",10.27,11.03,9.74,10.91,10.91,5.38%,"9,713"
ALVR,Nano-Cap,"Dec 23, 2024",9.89,10.58,9.62,10.35,10.35,11.39%,"14,108"
ALVR,Nano-Cap,"Dec 20, 2024",10.35,10.92,9.29,9.29,9.29,-10.22%,"45,855"
ALVR,Nano-Cap,"Dec 19, 2024",10.58,11.04,10.00,10.35,10.35,-,"10,451"
