symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
AREC,Nano-Cap,"Feb 14, 2025",0.66,0.66,0.62,0.62,0.62,-3.15%,"256,324"
AREC,Nano-Cap,"Feb 13, 2025",0.65,0.65,0.62,0.64,0.64,2.02%,"204,808"
AREC,Nano-Cap,"Feb 12, 2025",0.64,0.66,0.61,0.63,0.63,-1.51%,"261,391"
AREC,Nano-Cap,"Feb 11, 2025",0.66,0.66,0.63,0.64,0.64,-4.19%,"206,565"
AREC,Nano-Cap,"Feb 10, 2025",0.69,0.74,0.66,0.67,0.67,-2.85%,"512,786"
AREC,Nano-Cap,"Feb 7, 2025",0.63,0.71,0.61,0.68,0.68,10.42%,"800,587"
AREC,Nano-Cap,"Feb 6, 2025",0.66,0.67,0.60,0.62,0.62,-5.55%,"390,497"
AREC,Nano-Cap,"Feb 5, 2025",0.67,0.67,0.65,0.66,0.66,-1.25%,"402,388"
AREC,Nano-Cap,"Feb 4, 2025",0.68,0.69,0.64,0.66,0.66,-2.25%,"438,627"
AREC,Nano-Cap,"Feb 3, 2025",0.66,0.70,0.64,0.68,0.68,5.39%,"568,808"
AREC,Nano-Cap,"Jan 31, 2025",0.67,0.70,0.63,0.65,0.65,-2.63%,"210,699"
AREC,Nano-Cap,"Jan 30, 2025",0.69,0.70,0.64,0.66,0.66,-3.68%,"226,578"
AREC,Nano-Cap,"Jan 29, 2025",0.70,0.71,0.68,0.69,0.69,-4.47%,"108,977"
AREC,Nano-Cap,"Jan 28, 2025",0.71,0.73,0.62,0.72,0.72,3.57%,"630,173"
AREC,Nano-Cap,"Jan 27, 2025",0.78,0.78,0.67,0.70,0.70,-6.76%,"292,107"
AREC,Nano-Cap,"Jan 24, 2025",0.74,0.77,0.73,0.75,0.75,0.77%,"203,473"
AREC,Nano-Cap,"Jan 23, 2025",0.74,0.77,0.72,0.74,0.74,0.35%,"199,036"
AREC,Nano-Cap,"Jan 22, 2025",0.79,0.80,0.73,0.74,0.74,-4.23%,"268,332"
AREC,Nano-Cap,"Jan 21, 2025",0.75,0.78,0.73,0.77,0.77,5.78%,"271,324"
AREC,Nano-Cap,"Jan 17, 2025",0.69,0.73,0.69,0.73,0.73,2.52%,"142,446"
AREC,Nano-Cap,"Jan 16, 2025",0.74,0.74,0.69,0.71,0.71,-2.11%,"134,588"
AREC,Nano-Cap,"Jan 15, 2025",0.73,0.74,0.71,0.73,0.73,-0.17%,"74,278"
AREC,Nano-Cap,"Jan 14, 2025",0.71,0.73,0.70,0.73,0.73,1.69%,"81,394"
AREC,Nano-Cap,"Jan 13, 2025",0.69,0.72,0.67,0.71,0.71,6.95%,"216,435"
AREC,Nano-Cap,"Jan 10, 2025",0.72,0.72,0.65,0.67,0.67,-7.31%,"478,676"
AREC,Nano-Cap,"Jan 8, 2025",0.75,0.80,0.71,0.72,0.72,-3.96%,"279,101"
AREC,Nano-Cap,"Jan 7, 2025",0.82,0.82,0.73,0.75,0.75,-4.41%,"350,256"
