symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
BOLD,Nano-Cap,"Feb 14, 2025",2.29,2.44,2.24,2.24,2.24,-,"43,932"
BOLD,Nano-Cap,"Feb 13, 2025",2.23,2.48,2.17,2.24,2.24,1.82%,"24,312"
BOLD,Nano-Cap,"Feb 12, 2025",2.21,2.31,2.13,2.20,2.20,0.92%,"43,031"
BOLD,Nano-Cap,"Feb 11, 2025",2.25,2.39,2.18,2.18,2.18,-3.54%,"20,703"
BOLD,Nano-Cap,"Feb 10, 2025",2.25,2.30,2.20,2.26,2.26,1.80%,"25,881"
BOLD,Nano-Cap,"Feb 7, 2025",2.35,2.40,2.22,2.22,2.22,-5.93%,"36,544"
BOLD,Nano-Cap,"Feb 6, 2025",2.47,2.48,2.36,2.36,2.36,-5.60%,"25,758"
BOLD,Nano-Cap,"Feb 5, 2025",2.26,2.54,2.21,2.50,2.50,14.16%,"31,869"
BOLD,Nano-Cap,"Feb 4, 2025",2.23,2.28,2.15,2.19,2.19,-1.79%,"23,938"
BOLD,Nano-Cap,"Feb 3, 2025",2.24,2.38,2.22,2.23,2.23,-2.62%,"21,870"
BOLD,Nano-Cap,"Jan 31, 2025",2.45,2.45,2.23,2.29,2.29,-6.15%,"60,063"
BOLD,Nano-Cap,"Jan 30, 2025",2.46,2.48,2.35,2.44,2.44,-0.81%,"21,050"
BOLD,Nano-Cap,"Jan 29, 2025",2.49,2.54,2.35,2.46,2.46,0.82%,"18,066"
BOLD,Nano-Cap,"Jan 28, 2025",2.40,2.45,2.28,2.44,2.44,3.83%,"23,996"
BOLD,Nano-Cap,"Jan 27, 2025",2.40,2.45,2.33,2.35,2.35,-2.49%,"22,419"
BOLD,Nano-Cap,"Jan 24, 2025",2.53,2.63,2.39,2.41,2.41,-5.12%,"45,621"
BOLD,Nano-Cap,"Jan 23, 2025",2.53,2.63,2.49,2.54,2.54,-1.17%,"33,798"
BOLD,Nano-Cap,"Jan 22, 2025",2.53,2.67,2.52,2.57,2.57,-,"45,612"
BOLD,Nano-Cap,"Jan 21, 2025",2.58,2.58,2.47,2.57,2.57,1.58%,"170,812"
BOLD,Nano-Cap,"Jan 17, 2025",2.56,2.77,2.41,2.53,2.53,-0.39%,"139,146"
BOLD,Nano-Cap,"Jan 16, 2025",2.49,2.77,2.38,2.54,2.54,2.01%,"261,288"
BOLD,Nano-Cap,"Jan 15, 2025",2.40,2.58,2.36,2.49,2.49,8.26%,"96,520"
BOLD,Nano-Cap,"Jan 14, 2025",2.35,2.58,2.25,2.30,2.30,2.22%,"89,831"
BOLD,Nano-Cap,"Jan 13, 2025",2.50,2.60,2.19,2.25,2.25,-7.02%,"86,811"
BOLD,Nano-Cap,"Jan 10, 2025",2.41,2.51,2.32,2.42,2.42,-3.20%,"65,537"
BOLD,Nano-Cap,"Jan 8, 2025",2.60,2.62,2.50,2.50,2.50,-4.58%,"32,250"
BOLD,Nano-Cap,"Jan 7, 2025",2.76,2.76,2.56,2.62,2.62,-2.96%,"44,215"
BOLD,Nano-Cap,"Jan 6, 2025",2.75,2.77,2.65,2.70,2.70,0.75%,"50,826"
BOLD,Nano-Cap,"Jan 3, 2025",2.76,2.80,2.66,2.68,2.68,-1.83%,"43,063"
BOLD,Nano-Cap,"Jan 2, 2025",2.88,3.12,2.71,2.73,2.73,-5.86%,"69,273"
BOLD,Nano-Cap,"Dec 31, 2024",2.76,2.94,2.76,2.90,2.90,7.81%,"64,070"
BOLD,Nano-Cap,"Dec 30, 2024",2.53,2.76,2.53,2.69,2.69,5.49%,"45,485"
BOLD,Nano-Cap,"Dec 27, 2024",2.65,2.67,2.50,2.55,2.55,-3.77%,"43,797"
BOLD,Nano-Cap,"Dec 26, 2024",2.54,2.77,2.50,2.65,2.65,2.71%,"53,361"
BOLD,Nano-Cap,"Dec 24, 2024",2.52,2.62,2.38,2.58,2.58,0.78%,"44,582"
BOLD,Nano-Cap,"Dec 23, 2024",2.66,2.73,2.51,2.56,2.56,-1.16%,"193,756"
BOLD,Nano-Cap,"Dec 20, 2024",2.48,2.86,2.48,2.59,2.59,2.78%,"972,395"
