symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
GTI,Nano-Cap,"Feb 14, 2025",0.30,0.32,0.30,0.31,0.31,-2.21%,"797,454"
GTI,Nano-Cap,"Feb 13, 2025",0.29,0.34,0.29,0.32,0.32,2.92%,"1,420,706"
GTI,Nano-Cap,"Feb 12, 2025",0.31,0.31,0.28,0.31,0.31,-0.32%,"1,158,464"
GTI,Nano-Cap,"Feb 11, 2025",0.29,0.31,0.28,0.31,0.31,5.57%,"1,270,627"
GTI,Nano-Cap,"Feb 10, 2025",0.29,0.30,0.29,0.29,0.29,-0.78%,"1,149,107"
GTI,Nano-Cap,"Feb 7, 2025",0.31,0.31,0.29,0.30,0.30,-5.30%,"1,508,224"
GTI,Nano-Cap,"Feb 6, 2025",0.32,0.33,0.31,0.31,0.31,-4.68%,"1,287,674"
GTI,Nano-Cap,"Feb 5, 2025",0.30,0.33,0.30,0.33,0.33,0.62%,"1,147,270"
GTI,Nano-Cap,"Feb 4, 2025",0.30,0.36,0.30,0.32,0.32,4.77%,"3,046,056"
GTI,Nano-Cap,"Feb 3, 2025",0.31,0.31,0.29,0.31,0.31,-2.15%,"1,376,963"
GTI,Nano-Cap,"Jan 31, 2025",0.32,0.33,0.30,0.32,0.32,0.67%,"832,347"
GTI,Nano-Cap,"Jan 30, 2025",0.30,0.33,0.30,0.31,0.31,2.84%,"981,508"
GTI,Nano-Cap,"Jan 29, 2025",0.31,0.32,0.29,0.31,0.31,-4.38%,"1,510,439"
GTI,Nano-Cap,"Jan 28, 2025",0.32,0.33,0.31,0.32,0.32,-1.54%,"962,009"
GTI,Nano-Cap,"Jan 27, 2025",0.33,0.34,0.31,0.33,0.33,-7.12%,"1,888,566"
GTI,Nano-Cap,"Jan 24, 2025",0.32,0.37,0.32,0.35,0.35,6.03%,"3,941,866"
GTI,Nano-Cap,"Jan 23, 2025",0.30,0.42,0.28,0.33,0.33,10.55%,"18,163,418"
GTI,Nano-Cap,"Jan 22, 2025",0.34,0.35,0.24,0.30,0.30,-12.21%,"9,496,564"
GTI,Nano-Cap,"Jan 21, 2025",0.44,0.45,0.31,0.34,0.34,-22.36%,"7,308,864"
GTI,Nano-Cap,"Jan 17, 2025",0.47,0.47,0.42,0.44,0.44,-0.25%,"1,362,561"
GTI,Nano-Cap,"Jan 16, 2025",0.48,0.48,0.42,0.44,0.44,-8.54%,"4,509,665"
GTI,Nano-Cap,"Jan 15, 2025",0.48,0.51,0.43,0.48,0.48,6.01%,"3,520,041"
GTI,Nano-Cap,"Jan 14, 2025",0.45,0.61,0.42,0.45,0.45,5.97%,"16,955,820"
GTI,Nano-Cap,"Jan 13, 2025",0.46,0.51,0.39,0.43,0.43,-2.35%,"8,737,027"
GTI,Nano-Cap,"Jan 10, 2025",0.48,0.60,0.42,0.44,0.44,-3.19%,"10,284,932"
GTI,Nano-Cap,"Jan 8, 2025",0.48,0.63,0.44,0.45,0.45,-9.60%,"9,867,281"
GTI,Nano-Cap,"Jan 7, 2025",0.69,0.74,0.50,0.50,0.50,-26.45%,"7,007,455"
GTI,Nano-Cap,"Jan 6, 2025",0.87,0.89,0.65,0.68,0.68,-23.62%,"9,299,788"
GTI,Nano-Cap,"Jan 3, 2025",1.00,1.05,0.88,0.89,0.89,-11.00%,"7,299,539"
GTI,Nano-Cap,"Jan 2, 2025",1.01,1.39,0.98,1.00,1.00,11.11%,"15,286,716"
GTI,Nano-Cap,"Dec 31, 2024",1.08,1.12,0.80,0.90,0.90,-31.82%,"15,928,112"
GTI,Nano-Cap,"Dec 30, 2024",1.30,1.79,1.11,1.32,1.32,30.69%,"81,802,509"
GTI,Nano-Cap,"Dec 27, 2024",0.38,1.25,0.36,1.01,1.01,198.38%,"398,950,932"
GTI,Nano-Cap,"Dec 26, 2024",0.55,0.60,0.33,0.34,0.34,-44.51%,"22,442,807"
GTI,Nano-Cap,"Dec 24, 2024",0.22,0.84,0.21,0.61,0.61,168.72%,"265,479,889"
GTI,Nano-Cap,"Dec 23, 2024",0.22,0.24,0.21,0.23,0.23,-1.09%,"3,415,917"
GTI,Nano-Cap,"Dec 20, 2024",0.31,0.31,0.19,0.23,0.23,-24.13%,"12,668,417"
GTI,Nano-Cap,"Dec 19, 2024",0.42,0.44,0.25,0.30,0.30,-25.86%,"3,825,275"
GTI,Nano-Cap,"Dec 18, 2024",0.60,0.69,0.38,0.41,0.41,-30.98%,"4,350,338"
GTI,Nano-Cap,"Dec 17, 2024",0.77,0.93,0.57,0.59,0.59,-23.04%,"2,830,661"
GTI,Nano-Cap,"Dec 16, 2024",0.94,0.97,0.65,0.77,0.77,-18.76%,"2,661,102"
GTI,Nano-Cap,"Dec 13, 2024",1.04,1.50,0.88,0.95,0.95,-8.20%,"4,779,671"
GTI,Nano-Cap,"Dec 12, 2024",1.36,1.41,0.82,1.03,1.03,-23.70%,"2,250,830"
GTI,Nano-Cap,"Dec 11, 2024",1.70,1.75,1.18,1.35,1.35,-19.16%,"1,514,970"
GTI,Nano-Cap,"Dec 10, 2024",2.15,2.39,1.50,1.67,1.67,-18.93%,"1,379,075"
GTI,Nano-Cap,"Dec 9, 2024",2.75,2.83,2.02,2.06,2.06,-25.63%,"1,808,842"
GTI,Nano-Cap,"Dec 6, 2024",2.76,2.88,2.61,2.77,2.77,0.36%,"167,546"
GTI,Nano-Cap,"Dec 5, 2024",2.89,3.10,2.58,2.76,2.76,0.36%,"352,528"
GTI,Nano-Cap,"Dec 4, 2024",3.45,3.50,2.59,2.75,2.75,-17.42%,"569,311"
GTI,Nano-Cap,"Dec 3, 2024",2.99,3.40,2.60,3.33,3.33,32.67%,"321,666"
GTI,Nano-Cap,"Dec 2, 2024",2.77,3.28,2.40,2.51,2.51,-6.69%,"398,489"
GTI,Nano-Cap,"Nov 29, 2024",2.70,2.86,2.65,2.69,2.69,-0.22%,"83,631"
GTI,Nano-Cap,"Nov 27, 2024",2.97,2.97,2.65,2.70,2.70,-9.53%,"51,164"
GTI,Nano-Cap,"Nov 26, 2024",2.98,2.99,2.60,2.98,2.98,9.56%,"55,847"
GTI,Nano-Cap,"Nov 25, 2024",3.03,3.50,2.70,2.72,2.72,-8.11%,"90,095"
GTI,Nano-Cap,"Nov 22, 2024",2.90,3.08,2.90,2.96,2.96,1.37%,"8,826"
GTI,Nano-Cap,"Nov 21, 2024",3.10,3.20,2.90,2.92,2.92,0.52%,"14,529"
GTI,Nano-Cap,"Nov 20, 2024",3.16,3.30,2.91,2.91,2.91,-7.78%,"44,899"
GTI,Nano-Cap,"Nov 19, 2024",3.10,3.22,3.08,3.15,3.15,2.27%,"12,668"
GTI,Nano-Cap,"Nov 18, 2024",3.16,3.28,3.00,3.08,3.08,-0.32%,"30,081"
GTI,Nano-Cap,"Nov 15, 2024",3.59,3.70,3.08,3.09,3.09,-11.97%,"113,065"
GTI,Nano-Cap,"Nov 14, 2024",3.08,3.79,3.01,3.51,3.51,17.79%,"250,284"
GTI,Nano-Cap,"Nov 13, 2024",2.66,2.98,2.66,2.98,2.98,11.40%,"50,330"
GTI,Nano-Cap,"Nov 12, 2024",2.82,2.82,2.61,2.68,2.68,-4.46%,"21,223"
GTI,Nano-Cap,"Nov 11, 2024",2.75,2.93,2.75,2.80,2.80,3.51%,"29,519"
GTI,Nano-Cap,"Nov 8, 2024",2.68,2.72,2.51,2.71,2.71,5.87%,"30,346"
GTI,Nano-Cap,"Nov 7, 2024",2.38,3.00,2.38,2.56,2.56,10.61%,"150,789"
GTI,Nano-Cap,"Nov 6, 2024",2.35,2.39,2.30,2.31,2.31,0.43%,"16,865"
GTI,Nano-Cap,"Nov 5, 2024",2.17,2.35,2.17,2.30,2.30,5.02%,"8,549"
GTI,Nano-Cap,"Nov 4, 2024",2.26,2.26,2.17,2.19,2.19,0.92%,"9,269"
GTI,Nano-Cap,"Nov 1, 2024",2.16,2.30,2.13,2.17,2.17,1.40%,"15,330"
GTI,Nano-Cap,"Oct 31, 2024",2.17,2.21,2.08,2.14,2.14,0.94%,"15,199"
GTI,Nano-Cap,"Oct 30, 2024",2.32,2.40,2.12,2.12,2.12,-7.83%,"48,576"
GTI,Nano-Cap,"Oct 29, 2024",2.29,2.40,2.27,2.30,2.30,-0.86%,"17,950"
GTI,Nano-Cap,"Oct 28, 2024",2.21,2.58,2.17,2.32,2.32,6.91%,"117,015"
GTI,Nano-Cap,"Oct 25, 2024",2.19,2.20,2.10,2.17,2.17,5.85%,"13,071"
GTI,Nano-Cap,"Oct 24, 2024",2.23,2.27,2.05,2.05,2.05,-8.89%,"33,789"
GTI,Nano-Cap,"Oct 23, 2024",2.23,2.31,2.18,2.25,2.25,-0.44%,"8,991"
GTI,Nano-Cap,"Oct 22, 2024",2.43,2.43,2.20,2.26,2.26,1.80%,"46,228"
GTI,Nano-Cap,"Oct 21, 2024",2.24,2.40,2.22,2.22,2.22,-3.48%,"27,736"
GTI,Nano-Cap,"Oct 18, 2024",2.47,2.47,2.25,2.30,2.30,-0.86%,"44,398"
GTI,Nano-Cap,"Oct 17, 2024",2.21,2.32,2.20,2.32,2.32,4.04%,"50,461"
GTI,Nano-Cap,"Oct 16, 2024",2.08,2.30,2.08,2.23,2.23,7.21%,"104,306"
GTI,Nano-Cap,"Oct 15, 2024",2.63,2.64,1.90,2.08,2.08,-20.91%,"396,165"
