symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ICMB,Nano-Cap,"Feb 14, 2025",3.10,3.14,3.10,3.12,3.12,0.48%,"27,545"
ICMB,Nano-Cap,"Feb 13, 2025",3.10,3.14,3.10,3.10,3.10,-0.64%,"26,604"
ICMB,Nano-Cap,"Feb 12, 2025",3.11,3.13,3.02,3.12,3.12,0.65%,"42,804"
ICMB,Nano-Cap,"Feb 11, 2025",3.11,3.14,3.10,3.10,3.10,-0.96%,"18,585"
ICMB,Nano-Cap,"Feb 10, 2025",3.12,3.13,3.10,3.13,3.13,0.64%,"16,418"
ICMB,Nano-Cap,"Feb 7, 2025",3.03,3.12,3.02,3.11,3.11,-,"33,080"
ICMB,Nano-Cap,"Feb 6, 2025",3.12,3.12,3.07,3.11,3.11,-,"17,831"
ICMB,Nano-Cap,"Feb 5, 2025",3.10,3.11,3.07,3.11,3.11,0.32%,"16,957"
ICMB,Nano-Cap,"Feb 4, 2025",3.07,3.11,3.07,3.10,3.10,-0.16%,"28,091"
ICMB,Nano-Cap,"Feb 3, 2025",3.12,3.13,3.07,3.11,3.11,-0.16%,"26,829"
ICMB,Nano-Cap,"Jan 31, 2025",3.12,3.13,3.10,3.11,3.11,-0.32%,"36,935"
ICMB,Nano-Cap,"Jan 30, 2025",3.12,3.12,3.10,3.12,3.12,0.32%,"5,122"
ICMB,Nano-Cap,"Jan 29, 2025",3.12,3.12,3.10,3.11,3.11,0.48%,"16,838"
ICMB,Nano-Cap,"Jan 28, 2025",3.13,3.13,3.08,3.10,3.10,-0.48%,"30,639"
ICMB,Nano-Cap,"Jan 27, 2025",3.06,3.12,3.06,3.11,3.11,0.65%,"38,070"
ICMB,Nano-Cap,"Jan 24, 2025",3.07,3.10,3.06,3.09,3.09,0.65%,"26,019"
ICMB,Nano-Cap,"Jan 23, 2025",3.05,3.08,3.01,3.07,3.07,-,"39,944"
ICMB,Nano-Cap,"Jan 22, 2025",3.06,3.07,3.02,3.07,3.07,-,"13,606"
ICMB,Nano-Cap,"Jan 21, 2025",3.01,3.07,3.01,3.07,3.07,-0.32%,"27,003"
ICMB,Nano-Cap,"Jan 17, 2025",3.06,3.08,3.03,3.08,3.08,0.65%,"37,669"
ICMB,Nano-Cap,"Jan 16, 2025",3.00,3.07,3.00,3.06,3.06,0.33%,"18,308"
ICMB,Nano-Cap,"Jan 15, 2025",3.01,3.08,3.01,3.05,3.05,-,"24,177"
ICMB,Nano-Cap,"Jan 14, 2025",3.01,3.08,3.01,3.05,3.05,-,"21,461"
ICMB,Nano-Cap,"Jan 13, 2025",3.01,3.07,3.01,3.05,3.05,-,"25,929"
ICMB,Nano-Cap,"Jan 10, 2025",3.03,3.05,3.01,3.05,3.05,-0.65%,"29,952"
ICMB,Nano-Cap,"Jan 8, 2025",3.10,3.10,3.01,3.07,3.07,-0.32%,"31,772"
ICMB,Nano-Cap,"Jan 7, 2025",3.02,3.09,3.02,3.08,3.08,1.32%,"22,396"
ICMB,Nano-Cap,"Jan 6, 2025",3.04,3.05,3.03,3.04,3.04,0.33%,"13,814"
ICMB,Nano-Cap,"Jan 3, 2025",3.00,3.05,3.00,3.03,3.03,-0.66%,"26,305"
ICMB,Nano-Cap,"Jan 2, 2025",3.06,3.09,3.03,3.05,3.05,0.66%,"13,946"
ICMB,Nano-Cap,"Dec 31, 2024",3.04,3.04,3.00,3.03,3.03,-,"30,842"
ICMB,Nano-Cap,"Dec 30, 2024",3.03,3.08,3.00,3.03,3.03,-0.66%,"76,977"
ICMB,Nano-Cap,"Dec 27, 2024",3.09,3.09,3.03,3.05,3.05,-0.65%,"18,109"
ICMB,Nano-Cap,"Dec 26, 2024",3.10,3.10,3.03,3.07,3.07,0.33%,"29,832"
ICMB,Nano-Cap,"Dec 24, 2024",3.09,3.10,3.04,3.06,3.06,0.33%,"13,607"
ICMB,Nano-Cap,"Dec 23, 2024",3.10,3.14,3.02,3.05,3.05,-2.87%,"31,852"
ICMB,Nano-Cap,"Dec 20, 2024",3.10,3.20,3.03,3.14,3.14,-1.88%,"81,108"
ICMB,Nano-Cap,"Dec 19, 2024",3.16,3.23,3.16,3.20,3.08,-0.93%,"83,782"
ICMB,Nano-Cap,"Dec 18, 2024",3.23,3.23,3.14,3.23,3.11,-,"104,063"
ICMB,Nano-Cap,"Dec 17, 2024",3.22,3.23,3.20,3.23,3.11,0.31%,"16,912"
ICMB,Nano-Cap,"Dec 16, 2024",3.22,3.23,3.11,3.22,3.10,0.63%,"57,285"
ICMB,Nano-Cap,"Dec 13, 2024",3.24,3.24,3.20,3.20,3.08,-0.16%,"25,639"
