symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
MAIA,Nano-Cap,"Feb 14, 2025",1.87,1.91,1.83,1.87,1.87,-,"67,438"
MAIA,Nano-Cap,"Feb 13, 2025",1.92,1.92,1.81,1.87,1.87,-,"72,208"
MAIA,Nano-Cap,"Feb 12, 2025",1.77,1.93,1.77,1.87,1.87,3.89%,"117,114"
MAIA,Nano-Cap,"Feb 11, 2025",1.83,1.84,1.77,1.80,1.80,-0.55%,"135,871"
MAIA,Nano-Cap,"Feb 10, 2025",1.93,1.97,1.81,1.81,1.81,-4.74%,"128,536"
MAIA,Nano-Cap,"Feb 7, 2025",2.01,2.02,1.87,1.90,1.90,-4.04%,"171,471"
MAIA,Nano-Cap,"Feb 6, 2025",2.10,2.14,1.95,1.98,1.98,-5.71%,"236,528"
MAIA,Nano-Cap,"Feb 5, 2025",2.00,2.24,1.98,2.10,2.10,5.00%,"587,355"
MAIA,Nano-Cap,"Feb 4, 2025",2.08,2.30,1.95,2.00,2.00,5.82%,"4,657,971"
MAIA,Nano-Cap,"Feb 3, 2025",1.84,1.93,1.83,1.89,1.89,0.53%,"93,117"
MAIA,Nano-Cap,"Jan 31, 2025",1.89,1.91,1.84,1.88,1.88,1.08%,"43,873"
MAIA,Nano-Cap,"Jan 30, 2025",1.86,1.92,1.83,1.86,1.86,1.64%,"54,595"
MAIA,Nano-Cap,"Jan 29, 2025",1.86,1.89,1.82,1.83,1.83,-1.61%,"41,465"
MAIA,Nano-Cap,"Jan 28, 2025",1.86,1.89,1.82,1.86,1.86,0.54%,"41,499"
MAIA,Nano-Cap,"Jan 27, 2025",1.90,1.94,1.73,1.85,1.85,-2.63%,"190,772"
MAIA,Nano-Cap,"Jan 24, 2025",1.99,1.99,1.90,1.90,1.90,-4.04%,"93,403"
MAIA,Nano-Cap,"Jan 23, 2025",1.92,1.99,1.92,1.98,1.98,3.13%,"36,306"
MAIA,Nano-Cap,"Jan 22, 2025",1.99,2.02,1.90,1.92,1.92,-1.54%,"119,885"
MAIA,Nano-Cap,"Jan 21, 2025",2.00,2.08,1.93,1.95,1.95,-2.50%,"144,913"
MAIA,Nano-Cap,"Jan 17, 2025",2.02,2.10,1.99,2.00,2.00,-0.99%,"147,759"
MAIA,Nano-Cap,"Jan 16, 2025",2.16,2.18,1.97,2.02,2.02,-6.48%,"268,148"
MAIA,Nano-Cap,"Jan 15, 2025",2.23,2.27,2.15,2.16,2.16,-2.26%,"168,077"
MAIA,Nano-Cap,"Jan 14, 2025",2.28,2.29,2.14,2.21,2.21,-2.64%,"187,881"
MAIA,Nano-Cap,"Jan 13, 2025",2.25,2.44,2.03,2.27,2.27,7.08%,"1,199,958"
MAIA,Nano-Cap,"Jan 10, 2025",2.08,2.19,2.05,2.12,2.12,-0.47%,"252,884"
MAIA,Nano-Cap,"Jan 8, 2025",2.19,2.29,2.02,2.13,2.13,-10.50%,"529,340"
MAIA,Nano-Cap,"Jan 7, 2025",2.14,2.55,2.14,2.38,2.38,15.53%,"2,217,526"
MAIA,Nano-Cap,"Jan 6, 2025",2.24,2.26,2.01,2.06,2.06,-7.62%,"245,149"
MAIA,Nano-Cap,"Jan 3, 2025",2.11,2.26,2.06,2.23,2.23,6.70%,"110,314"
MAIA,Nano-Cap,"Jan 2, 2025",2.00,2.10,1.96,2.09,2.09,5.56%,"111,417"
MAIA,Nano-Cap,"Dec 31, 2024",1.99,2.04,1.95,1.98,1.98,-1.49%,"205,368"
