symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
MESA,Nano-Cap,"Feb 14, 2025",1.14,1.16,1.01,1.09,1.09,-4.39%,"508,513"
MESA,Nano-Cap,"Feb 13, 2025",1.17,1.17,1.12,1.14,1.14,-,"208,706"
MESA,Nano-Cap,"Feb 12, 2025",1.19,1.20,1.14,1.14,1.14,-4.20%,"204,353"
MESA,Nano-Cap,"Feb 11, 2025",1.15,1.20,1.11,1.19,1.19,1.71%,"296,983"
MESA,Nano-Cap,"Feb 10, 2025",1.24,1.25,1.17,1.17,1.17,-6.40%,"281,889"
MESA,Nano-Cap,"Feb 7, 2025",1.25,1.30,1.22,1.25,1.25,-0.79%,"181,470"
MESA,Nano-Cap,"Feb 6, 2025",1.27,1.29,1.23,1.26,1.26,-0.79%,"124,948"
MESA,Nano-Cap,"Feb 5, 2025",1.28,1.30,1.26,1.27,1.27,-1.55%,"100,028"
MESA,Nano-Cap,"Feb 4, 2025",1.26,1.31,1.26,1.29,1.29,2.38%,"159,500"
MESA,Nano-Cap,"Feb 3, 2025",1.22,1.27,1.22,1.26,1.26,-,"279,346"
MESA,Nano-Cap,"Jan 31, 2025",1.27,1.33,1.25,1.26,1.26,-1.56%,"174,095"
MESA,Nano-Cap,"Jan 30, 2025",1.24,1.29,1.24,1.28,1.28,2.40%,"86,214"
MESA,Nano-Cap,"Jan 29, 2025",1.23,1.26,1.22,1.25,1.25,-,"136,379"
MESA,Nano-Cap,"Jan 28, 2025",1.32,1.33,1.22,1.25,1.25,-5.30%,"341,556"
MESA,Nano-Cap,"Jan 27, 2025",1.31,1.34,1.31,1.32,1.32,0.76%,"140,895"
MESA,Nano-Cap,"Jan 24, 2025",1.32,1.36,1.30,1.31,1.31,-2.24%,"102,265"
MESA,Nano-Cap,"Jan 23, 2025",1.37,1.39,1.34,1.34,1.34,-2.19%,"157,454"
MESA,Nano-Cap,"Jan 22, 2025",1.36,1.39,1.34,1.37,1.37,-0.36%,"152,325"
MESA,Nano-Cap,"Jan 21, 2025",1.33,1.39,1.33,1.38,1.38,3.38%,"234,487"
MESA,Nano-Cap,"Jan 17, 2025",1.35,1.38,1.28,1.33,1.33,-,"276,369"
MESA,Nano-Cap,"Jan 16, 2025",1.28,1.35,1.28,1.33,1.33,1.53%,"171,518"
MESA,Nano-Cap,"Jan 15, 2025",1.33,1.36,1.28,1.31,1.31,-2.24%,"291,635"
MESA,Nano-Cap,"Jan 14, 2025",1.36,1.40,1.30,1.34,1.34,-0.74%,"168,261"
MESA,Nano-Cap,"Jan 13, 2025",1.35,1.41,1.29,1.35,1.35,-0.74%,"343,086"
MESA,Nano-Cap,"Jan 10, 2025",1.35,1.37,1.30,1.36,1.36,0.74%,"312,425"
MESA,Nano-Cap,"Jan 8, 2025",1.32,1.35,1.28,1.35,1.35,3.05%,"276,908"
MESA,Nano-Cap,"Jan 7, 2025",1.35,1.43,1.25,1.31,1.31,3.97%,"1,244,470"
MESA,Nano-Cap,"Jan 6, 2025",1.27,1.29,1.24,1.26,1.26,-,"200,599"
MESA,Nano-Cap,"Jan 3, 2025",1.25,1.28,1.22,1.26,1.26,-0.79%,"104,484"
MESA,Nano-Cap,"Jan 2, 2025",1.22,1.37,1.20,1.27,1.27,9.48%,"363,406"
MESA,Nano-Cap,"Dec 31, 2024",1.20,1.27,1.16,1.16,1.16,-7.20%,"313,483"
MESA,Nano-Cap,"Dec 30, 2024",1.28,1.35,1.23,1.25,1.25,-4.58%,"336,556"
MESA,Nano-Cap,"Dec 27, 2024",1.29,1.36,1.29,1.31,1.31,-1.13%,"296,012"
MESA,Nano-Cap,"Dec 26, 2024",1.12,1.33,1.12,1.33,1.33,16.23%,"703,400"
MESA,Nano-Cap,"Dec 24, 2024",1.17,1.17,1.09,1.14,1.14,-1.72%,"87,905"
MESA,Nano-Cap,"Dec 23, 2024",1.12,1.17,1.10,1.16,1.16,2.65%,"92,098"
MESA,Nano-Cap,"Dec 20, 2024",1.14,1.17,1.05,1.13,1.13,-,"169,045"
MESA,Nano-Cap,"Dec 19, 2024",1.08,1.17,1.08,1.13,1.13,3.67%,"134,701"
MESA,Nano-Cap,"Dec 18, 2024",1.18,1.19,1.04,1.09,1.09,-9.17%,"307,706"
MESA,Nano-Cap,"Dec 17, 2024",1.19,1.20,1.12,1.20,1.20,1.69%,"245,224"
MESA,Nano-Cap,"Dec 16, 2024",1.07,1.18,1.07,1.18,1.18,10.28%,"469,599"
MESA,Nano-Cap,"Dec 13, 2024",1.05,1.08,1.04,1.07,1.07,0.94%,"123,170"
MESA,Nano-Cap,"Dec 12, 2024",1.05,1.08,1.05,1.06,1.06,-,"76,084"
MESA,Nano-Cap,"Dec 11, 2024",1.05,1.08,1.05,1.06,1.06,0.95%,"197,149"
MESA,Nano-Cap,"Dec 10, 2024",1.07,1.09,1.03,1.05,1.05,-2.78%,"106,893"
MESA,Nano-Cap,"Dec 9, 2024",1.07,1.09,1.04,1.08,1.08,2.86%,"203,741"
MESA,Nano-Cap,"Dec 6, 2024",1.08,1.09,1.02,1.05,1.05,1.94%,"357,949"
MESA,Nano-Cap,"Dec 5, 2024",1.00,1.10,1.00,1.03,1.03,3.00%,"412,367"
MESA,Nano-Cap,"Dec 4, 2024",1.01,1.05,0.99,1.00,1.00,-1.96%,"155,638"
MESA,Nano-Cap,"Dec 3, 2024",1.03,1.06,1.00,1.02,1.02,-0.97%,"145,292"
MESA,Nano-Cap,"Dec 2, 2024",1.07,1.09,0.99,1.03,1.03,-4.63%,"388,233"
MESA,Nano-Cap,"Nov 29, 2024",1.11,1.12,1.08,1.08,1.08,-3.57%,"122,383"
MESA,Nano-Cap,"Nov 27, 2024",1.09,1.15,1.04,1.12,1.12,9.80%,"649,902"
MESA,Nano-Cap,"Nov 26, 2024",0.99,1.03,0.99,1.02,1.02,4.36%,"333,909"
MESA,Nano-Cap,"Nov 25, 2024",0.87,0.99,0.87,0.98,0.98,12.29%,"473,336"
MESA,Nano-Cap,"Nov 22, 2024",0.89,0.89,0.86,0.87,0.87,0.62%,"119,945"
MESA,Nano-Cap,"Nov 21, 2024",0.85,0.88,0.85,0.87,0.87,0.46%,"129,674"
MESA,Nano-Cap,"Nov 20, 2024",0.86,0.89,0.85,0.86,0.86,-0.47%,"113,930"
MESA,Nano-Cap,"Nov 19, 2024",0.86,0.88,0.84,0.87,0.87,1.78%,"117,586"
MESA,Nano-Cap,"Nov 18, 2024",0.85,0.87,0.84,0.85,0.85,-0.75%,"192,630"
MESA,Nano-Cap,"Nov 15, 2024",0.88,0.89,0.84,0.86,0.86,-2.42%,"306,254"
MESA,Nano-Cap,"Nov 14, 2024",0.91,0.94,0.86,0.88,0.88,-0.27%,"222,486"
MESA,Nano-Cap,"Nov 13, 2024",0.91,0.95,0.85,0.88,0.88,-6.34%,"332,585"
MESA,Nano-Cap,"Nov 12, 2024",0.91,0.95,0.89,0.94,0.94,-0.05%,"157,631"
MESA,Nano-Cap,"Nov 11, 2024",0.92,0.95,0.89,0.94,0.94,2.18%,"273,268"
MESA,Nano-Cap,"Nov 8, 2024",0.88,0.94,0.87,0.92,0.92,4.93%,"285,892"
MESA,Nano-Cap,"Nov 7, 2024",0.90,0.91,0.85,0.88,0.88,-2.20%,"239,462"
MESA,Nano-Cap,"Nov 6, 2024",0.90,0.91,0.88,0.90,0.90,1.30%,"296,317"
MESA,Nano-Cap,"Nov 5, 2024",0.89,0.92,0.88,0.89,0.89,0.36%,"105,460"
MESA,Nano-Cap,"Nov 4, 2024",0.91,0.93,0.88,0.88,0.88,-4.13%,"176,882"
MESA,Nano-Cap,"Nov 1, 2024",0.92,0.94,0.90,0.92,0.92,0.41%,"89,692"
MESA,Nano-Cap,"Oct 31, 2024",0.90,0.94,0.89,0.92,0.92,0.54%,"74,369"
MESA,Nano-Cap,"Oct 30, 2024",0.94,0.94,0.91,0.91,0.91,-2.93%,"58,692"
MESA,Nano-Cap,"Oct 29, 2024",0.92,0.95,0.90,0.94,0.94,2.06%,"187,883"
MESA,Nano-Cap,"Oct 28, 2024",0.90,0.92,0.90,0.92,0.92,3.49%,"151,839"
MESA,Nano-Cap,"Oct 25, 2024",0.91,0.92,0.88,0.89,0.89,-1.13%,"160,946"
MESA,Nano-Cap,"Oct 24, 2024",0.93,0.96,0.89,0.90,0.90,-3.86%,"255,029"
MESA,Nano-Cap,"Oct 23, 2024",0.95,0.95,0.92,0.94,0.94,-0.53%,"195,520"
MESA,Nano-Cap,"Oct 22, 2024",0.94,0.99,0.89,0.94,0.94,0.01%,"481,100"
MESA,Nano-Cap,"Oct 21, 2024",0.92,0.96,0.91,0.94,0.94,3.40%,"221,365"
MESA,Nano-Cap,"Oct 18, 2024",0.91,0.95,0.88,0.91,0.91,5.09%,"766,335"
MESA,Nano-Cap,"Oct 17, 2024",1.14,1.14,0.85,0.87,0.87,-17.22%,"1,584,922"
MESA,Nano-Cap,"Oct 16, 2024",1.15,1.16,1.00,1.05,1.05,-9.91%,"874,243"
MESA,Nano-Cap,"Oct 15, 2024",1.18,1.19,1.12,1.16,1.16,-1.69%,"364,106"
MESA,Nano-Cap,"Oct 14, 2024",1.19,1.19,1.15,1.18,1.18,0.85%,"97,426"
MESA,Nano-Cap,"Oct 11, 2024",1.20,1.22,1.17,1.17,1.17,-2.09%,"72,506"
MESA,Nano-Cap,"Oct 10, 2024",1.20,1.20,1.14,1.20,1.20,-0.42%,"138,881"
MESA,Nano-Cap,"Oct 9, 2024",1.21,1.24,1.19,1.20,1.20,-0.83%,"112,926"
MESA,Nano-Cap,"Oct 8, 2024",1.19,1.26,1.18,1.21,1.21,0.83%,"266,123"
MESA,Nano-Cap,"Oct 7, 2024",1.22,1.25,1.17,1.20,1.20,1.69%,"130,547"
MESA,Nano-Cap,"Oct 4, 2024",1.17,1.21,1.16,1.18,1.18,1.72%,"90,049"
MESA,Nano-Cap,"Oct 3, 2024",1.19,1.23,1.15,1.16,1.16,-2.52%,"123,270"
MESA,Nano-Cap,"Oct 2, 2024",1.16,1.20,1.10,1.19,1.19,4.39%,"112,716"
MESA,Nano-Cap,"Oct 1, 2024",1.18,1.19,1.14,1.14,1.14,-5.79%,"82,261"
MESA,Nano-Cap,"Sep 30, 2024",1.16,1.23,1.15,1.21,1.21,2.54%,"135,406"
MESA,Nano-Cap,"Sep 27, 2024",1.20,1.21,1.15,1.18,1.18,-1.67%,"118,493"
MESA,Nano-Cap,"Sep 26, 2024",1.14,1.20,1.13,1.20,1.20,6.19%,"226,840"
MESA,Nano-Cap,"Sep 25, 2024",1.20,1.20,1.09,1.13,1.13,-3.42%,"267,936"
MESA,Nano-Cap,"Sep 24, 2024",1.15,1.20,1.09,1.17,1.17,1.74%,"422,935"
MESA,Nano-Cap,"Sep 23, 2024",1.16,1.17,1.12,1.15,1.15,-,"129,166"
