symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
NINE,Nano-Cap,"Feb 14, 2025",1.23,1.24,1.16,1.18,1.18,-3.28%,"493,565"
NINE,Nano-Cap,"Feb 13, 2025",1.22,1.23,1.15,1.22,1.22,-1.61%,"759,832"
NINE,Nano-Cap,"Feb 12, 2025",1.25,1.27,1.21,1.24,1.24,-0.80%,"632,679"
NINE,Nano-Cap,"Feb 11, 2025",1.18,1.30,1.17,1.25,1.25,5.04%,"1,230,593"
NINE,Nano-Cap,"Feb 10, 2025",1.13,1.22,1.10,1.19,1.19,9.17%,"882,860"
NINE,Nano-Cap,"Feb 7, 2025",1.10,1.14,1.08,1.09,1.09,-1.80%,"582,952"
NINE,Nano-Cap,"Feb 6, 2025",1.15,1.20,1.06,1.11,1.11,-3.48%,"1,269,684"
NINE,Nano-Cap,"Feb 5, 2025",1.22,1.22,1.14,1.15,1.15,-4.17%,"1,114,511"
NINE,Nano-Cap,"Feb 4, 2025",1.15,1.23,1.12,1.20,1.20,5.26%,"1,321,652"
NINE,Nano-Cap,"Feb 3, 2025",1.20,1.22,1.07,1.14,1.14,-1.72%,"2,106,149"
NINE,Nano-Cap,"Jan 31, 2025",1.21,1.22,1.14,1.16,1.16,-4.92%,"1,071,809"
NINE,Nano-Cap,"Jan 30, 2025",1.36,1.43,1.20,1.22,1.22,-10.29%,"2,206,441"
NINE,Nano-Cap,"Jan 29, 2025",1.43,1.43,1.29,1.36,1.36,-6.85%,"2,139,001"
NINE,Nano-Cap,"Jan 28, 2025",1.40,1.51,1.32,1.46,1.46,5.04%,"938,202"
NINE,Nano-Cap,"Jan 27, 2025",1.45,1.49,1.33,1.39,1.39,-6.08%,"1,309,830"
NINE,Nano-Cap,"Jan 24, 2025",1.57,1.59,1.44,1.48,1.48,-6.92%,"2,055,420"
NINE,Nano-Cap,"Jan 23, 2025",1.48,1.71,1.39,1.59,1.59,7.43%,"3,536,490"
NINE,Nano-Cap,"Jan 22, 2025",1.62,1.78,1.43,1.48,1.48,-1.33%,"8,912,837"
NINE,Nano-Cap,"Jan 21, 2025",1.25,1.76,1.21,1.50,1.50,27.12%,"20,524,847"
NINE,Nano-Cap,"Jan 17, 2025",1.23,1.23,1.16,1.18,1.18,0.85%,"1,675,673"
NINE,Nano-Cap,"Jan 16, 2025",1.20,1.22,1.13,1.17,1.17,-4.10%,"789,961"
NINE,Nano-Cap,"Jan 15, 2025",1.17,1.26,1.14,1.22,1.22,4.27%,"972,925"
NINE,Nano-Cap,"Jan 14, 2025",1.33,1.35,1.11,1.17,1.17,-5.65%,"1,176,355"
NINE,Nano-Cap,"Jan 13, 2025",1.26,1.30,1.22,1.24,1.24,-2.36%,"736,259"
NINE,Nano-Cap,"Jan 10, 2025",1.34,1.43,1.17,1.27,1.27,-5.22%,"2,211,228"
NINE,Nano-Cap,"Jan 8, 2025",1.29,1.45,1.25,1.34,1.34,1.52%,"2,730,300"
NINE,Nano-Cap,"Jan 7, 2025",1.25,1.36,1.22,1.32,1.32,5.60%,"1,118,409"
NINE,Nano-Cap,"Jan 6, 2025",1.42,1.42,1.22,1.25,1.25,-12.59%,"2,092,620"
NINE,Nano-Cap,"Jan 3, 2025",1.40,1.59,1.23,1.43,1.43,16.26%,"7,689,767"
NINE,Nano-Cap,"Jan 2, 2025",1.17,1.29,1.16,1.23,1.23,9.82%,"2,683,842"
NINE,Nano-Cap,"Dec 31, 2024",0.98,1.12,0.96,1.12,1.12,13.13%,"805,675"
NINE,Nano-Cap,"Dec 30, 2024",1.04,1.04,0.94,0.99,0.99,-2.94%,"1,325,144"
NINE,Nano-Cap,"Dec 27, 2024",1.06,1.13,1.01,1.02,1.02,-1.92%,"1,079,203"
NINE,Nano-Cap,"Dec 26, 2024",0.99,1.05,0.97,1.04,1.04,7.08%,"584,519"
NINE,Nano-Cap,"Dec 24, 2024",1.00,1.01,0.90,0.97,0.97,-2.88%,"336,083"
NINE,Nano-Cap,"Dec 23, 2024",1.00,1.06,0.98,1.00,1.00,-,"516,725"
NINE,Nano-Cap,"Dec 20, 2024",0.88,1.02,0.88,1.00,1.00,11.09%,"1,127,349"
NINE,Nano-Cap,"Dec 19, 2024",0.92,0.94,0.89,0.90,0.90,-2.05%,"745,908"
NINE,Nano-Cap,"Dec 18, 2024",1.03,1.03,0.90,0.92,0.92,-7.17%,"856,799"
NINE,Nano-Cap,"Dec 17, 2024",0.99,1.04,0.98,0.99,0.99,0.38%,"947,081"
NINE,Nano-Cap,"Dec 16, 2024",1.15,1.15,0.96,0.99,0.99,-11.94%,"3,166,767"
NINE,Nano-Cap,"Dec 13, 2024",1.15,1.19,1.04,1.12,1.12,-1.75%,"882,827"
NINE,Nano-Cap,"Dec 12, 2024",1.21,1.22,1.12,1.14,1.14,-7.32%,"1,173,636"
NINE,Nano-Cap,"Dec 11, 2024",1.24,1.27,1.19,1.23,1.23,-0.81%,"967,908"
NINE,Nano-Cap,"Dec 10, 2024",1.33,1.35,1.22,1.24,1.24,-7.46%,"751,788"
NINE,Nano-Cap,"Dec 9, 2024",1.34,1.40,1.32,1.34,1.34,3.08%,"467,966"
NINE,Nano-Cap,"Dec 6, 2024",1.46,1.47,1.29,1.30,1.30,-10.34%,"907,946"
NINE,Nano-Cap,"Dec 5, 2024",1.53,1.59,1.41,1.45,1.45,-5.84%,"978,136"
NINE,Nano-Cap,"Dec 4, 2024",1.71,1.72,1.51,1.54,1.54,-8.88%,"700,715"
NINE,Nano-Cap,"Dec 3, 2024",1.68,1.76,1.66,1.69,1.69,0.60%,"604,456"
NINE,Nano-Cap,"Dec 2, 2024",1.81,1.85,1.67,1.68,1.68,-4.00%,"1,337,275"
NINE,Nano-Cap,"Nov 29, 2024",1.61,1.87,1.60,1.75,1.75,10.06%,"968,566"
NINE,Nano-Cap,"Nov 27, 2024",1.44,1.61,1.33,1.59,1.59,12.77%,"1,133,163"
NINE,Nano-Cap,"Nov 26, 2024",1.55,1.55,1.39,1.41,1.41,-6.00%,"1,023,867"
