symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
REFR,Nano-Cap,"Feb 14, 2025",1.42,1.61,1.42,1.44,1.44,-,"23,350"
REFR,Nano-Cap,"Feb 13, 2025",1.45,1.51,1.42,1.44,1.44,-1.37%,"19,744"
REFR,Nano-Cap,"Feb 12, 2025",1.51,1.55,1.45,1.46,1.46,-6.41%,"18,606"
REFR,Nano-Cap,"Feb 11, 2025",1.37,1.66,1.37,1.56,1.56,11.43%,"53,023"
REFR,Nano-Cap,"Feb 10, 2025",1.44,1.44,1.37,1.40,1.40,-2.78%,"39,095"
REFR,Nano-Cap,"Feb 7, 2025",1.69,1.69,1.39,1.44,1.44,-3.36%,"92,602"
REFR,Nano-Cap,"Feb 6, 2025",1.49,1.52,1.44,1.49,1.49,-1.32%,"45,982"
REFR,Nano-Cap,"Feb 5, 2025",1.51,1.52,1.48,1.51,1.51,-,"34,558"
REFR,Nano-Cap,"Feb 4, 2025",1.50,1.58,1.47,1.51,1.51,-0.66%,"54,500"
REFR,Nano-Cap,"Feb 3, 2025",1.54,1.57,1.50,1.52,1.52,-1.30%,"61,072"
REFR,Nano-Cap,"Jan 31, 2025",1.59,1.59,1.54,1.54,1.54,-0.65%,"5,620"
REFR,Nano-Cap,"Jan 30, 2025",1.54,1.60,1.54,1.55,1.55,0.65%,"35,235"
REFR,Nano-Cap,"Jan 29, 2025",1.56,1.58,1.54,1.54,1.54,-3.14%,"15,032"
REFR,Nano-Cap,"Jan 28, 2025",1.57,1.64,1.53,1.59,1.59,1.27%,"61,258"
REFR,Nano-Cap,"Jan 27, 2025",1.60,1.60,1.55,1.57,1.57,-1.88%,"23,489"
REFR,Nano-Cap,"Jan 24, 2025",1.62,1.65,1.56,1.60,1.60,-0.62%,"67,145"
REFR,Nano-Cap,"Jan 23, 2025",1.61,1.67,1.57,1.61,1.61,-,"60,877"
REFR,Nano-Cap,"Jan 22, 2025",1.61,1.68,1.60,1.61,1.61,0.63%,"86,118"
REFR,Nano-Cap,"Jan 21, 2025",1.69,1.85,1.53,1.60,1.60,-3.61%,"55,176"
REFR,Nano-Cap,"Jan 17, 2025",1.65,1.68,1.65,1.66,1.66,-0.60%,"15,017"
REFR,Nano-Cap,"Jan 16, 2025",1.69,1.69,1.64,1.67,1.67,-0.89%,"20,348"
