symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SSBI,Nano-Cap,"Feb 14, 2025",7.20,7.41,7.06,7.18,7.18,1.08%,"12,251"
SSBI,Nano-Cap,"Feb 13, 2025",7.05,7.21,7.01,7.10,7.10,1.00%,"8,985"
SSBI,Nano-Cap,"Feb 12, 2025",7.10,7.20,6.95,7.03,7.03,-1.82%,"15,791"
SSBI,Nano-Cap,"Feb 11, 2025",7.18,7.40,7.10,7.16,7.16,-3.24%,"6,999"
SSBI,Nano-Cap,"Feb 10, 2025",7.25,7.40,7.08,7.40,7.40,1.65%,"21,043"
SSBI,Nano-Cap,"Feb 7, 2025",7.38,7.40,7.26,7.28,7.28,-3.01%,"4,979"
SSBI,Nano-Cap,"Feb 6, 2025",7.56,7.65,7.48,7.51,7.51,0.35%,"59,891"
SSBI,Nano-Cap,"Feb 5, 2025",7.44,7.59,7.40,7.48,7.48,1.63%,"23,981"
SSBI,Nano-Cap,"Feb 4, 2025",7.36,7.36,7.36,7.36,7.36,-,55
SSBI,Nano-Cap,"Feb 3, 2025",7.36,7.36,7.36,7.36,7.36,-,528
SSBI,Nano-Cap,"Jan 31, 2025",7.36,7.49,7.27,7.36,7.36,-1.60%,"7,147"
SSBI,Nano-Cap,"Jan 30, 2025",7.24,7.48,7.24,7.48,7.48,1.77%,"51,710"
SSBI,Nano-Cap,"Jan 29, 2025",7.22,7.40,7.22,7.35,7.35,-0.68%,"10,005"
SSBI,Nano-Cap,"Jan 28, 2025",7.46,7.49,7.22,7.40,7.40,-0.95%,"24,293"
SSBI,Nano-Cap,"Jan 27, 2025",7.51,7.52,7.47,7.47,7.47,-0.52%,"2,223"
SSBI,Nano-Cap,"Jan 24, 2025",7.48,7.55,7.48,7.51,7.51,-0.53%,"1,657"
SSBI,Nano-Cap,"Jan 23, 2025",7.41,7.55,7.40,7.55,7.55,1.62%,"2,171"
SSBI,Nano-Cap,"Jan 22, 2025",7.41,7.58,7.23,7.43,7.43,-,"11,198"
SSBI,Nano-Cap,"Jan 21, 2025",7.49,7.71,7.22,7.43,7.43,-0.54%,"24,316"
SSBI,Nano-Cap,"Jan 17, 2025",7.28,7.55,7.02,7.47,7.47,5.51%,"31,852"
SSBI,Nano-Cap,"Jan 16, 2025",7.06,7.30,7.06,7.08,7.08,-2.88%,"38,836"
SSBI,Nano-Cap,"Jan 15, 2025",7.18,7.31,7.05,7.29,7.29,1.82%,"6,486"
SSBI,Nano-Cap,"Jan 14, 2025",7.26,7.32,7.15,7.16,7.16,-3.63%,"10,556"
SSBI,Nano-Cap,"Jan 13, 2025",7.33,7.43,7.02,7.43,7.43,3.19%,"8,732"
SSBI,Nano-Cap,"Jan 10, 2025",7.59,7.59,7.11,7.20,7.20,-1.91%,"4,180"
SSBI,Nano-Cap,"Jan 8, 2025",7.51,7.63,7.34,7.34,7.34,-3.29%,"13,989"
SSBI,Nano-Cap,"Jan 7, 2025",7.55,7.60,7.52,7.59,7.59,-,"5,825"
SSBI,Nano-Cap,"Jan 6, 2025",7.51,7.85,7.50,7.59,7.59,-1.30%,"33,509"
SSBI,Nano-Cap,"Jan 3, 2025",7.30,7.74,7.30,7.69,7.69,3.36%,"43,888"
SSBI,Nano-Cap,"Jan 2, 2025",7.74,7.75,7.36,7.44,7.44,-2.75%,"34,101"
SSBI,Nano-Cap,"Dec 31, 2024",7.84,7.84,7.65,7.65,7.65,-1.42%,"107,904"
SSBI,Nano-Cap,"Dec 30, 2024",7.30,7.76,7.30,7.76,7.76,2.24%,"179,442"
SSBI,Nano-Cap,"Dec 27, 2024",7.40,7.61,7.30,7.59,7.59,1.07%,"52,106"
SSBI,Nano-Cap,"Dec 26, 2024",7.45,7.62,7.35,7.51,7.51,-0.27%,"42,408"
SSBI,Nano-Cap,"Dec 24, 2024",7.38,7.57,7.36,7.53,7.53,-0.26%,"1,688"
SSBI,Nano-Cap,"Dec 23, 2024",7.60,7.60,7.46,7.55,7.55,-1.18%,"13,040"
SSBI,Nano-Cap,"Dec 20, 2024",7.47,7.64,7.35,7.64,7.64,2.28%,"14,750"
SSBI,Nano-Cap,"Dec 19, 2024",7.21,7.47,7.19,7.47,7.47,4.62%,"4,569"
SSBI,Nano-Cap,"Dec 18, 2024",7.14,7.23,7.03,7.14,7.14,-1.52%,"15,279"
SSBI,Nano-Cap,"Dec 17, 2024",7.00,7.25,6.85,7.25,7.25,0.14%,"10,051"
SSBI,Nano-Cap,"Dec 16, 2024",7.62,7.62,7.04,7.24,7.24,1.97%,"7,141"
SSBI,Nano-Cap,"Dec 13, 2024",7.21,7.60,6.93,7.10,7.10,-5.59%,"3,780"
