symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SWVL,Nano-Cap,"Feb 14, 2025",5.15,5.15,4.95,4.95,4.95,0.20%,"6,001"
SWVL,Nano-Cap,"Feb 13, 2025",5.24,5.24,4.91,4.94,4.94,-4.26%,"8,589"
SWVL,Nano-Cap,"Feb 12, 2025",4.89,5.16,4.89,5.16,5.16,-0.96%,"5,505"
SWVL,Nano-Cap,"Feb 11, 2025",5.26,5.35,4.89,5.21,5.21,-0.95%,"10,550"
SWVL,Nano-Cap,"Feb 10, 2025",4.96,5.33,4.84,5.26,5.26,1.35%,"18,367"
SWVL,Nano-Cap,"Feb 7, 2025",4.82,5.50,4.76,5.19,5.19,7.90%,"24,106"
SWVL,Nano-Cap,"Feb 6, 2025",5.20,5.20,4.81,4.81,4.81,-7.50%,"6,448"
SWVL,Nano-Cap,"Feb 5, 2025",5.24,5.47,5.11,5.20,5.20,1.96%,"6,991"
SWVL,Nano-Cap,"Feb 4, 2025",5.10,5.44,5.01,5.10,5.10,-6.08%,"9,947"
SWVL,Nano-Cap,"Feb 3, 2025",5.04,5.43,4.94,5.43,5.43,2.84%,"10,069"
SWVL,Nano-Cap,"Jan 31, 2025",5.55,5.55,4.99,5.28,5.28,0.96%,"75,875"
SWVL,Nano-Cap,"Jan 30, 2025",4.75,5.28,4.74,5.23,5.23,5.87%,"22,000"
SWVL,Nano-Cap,"Jan 29, 2025",4.71,5.13,4.71,4.94,4.94,3.35%,"24,150"
SWVL,Nano-Cap,"Jan 28, 2025",4.28,4.79,4.28,4.78,4.78,9.89%,"14,845"
SWVL,Nano-Cap,"Jan 27, 2025",4.67,4.84,4.28,4.35,4.35,-7.25%,"25,131"
SWVL,Nano-Cap,"Jan 24, 2025",4.87,4.95,4.63,4.69,4.69,-2.29%,"9,938"
SWVL,Nano-Cap,"Jan 23, 2025",4.75,5.02,4.65,4.80,4.80,-0.62%,"16,357"
SWVL,Nano-Cap,"Jan 22, 2025",4.92,5.34,4.66,4.83,4.83,-2.03%,"46,994"
SWVL,Nano-Cap,"Jan 21, 2025",5.20,5.27,4.93,4.93,4.93,-1.40%,"18,993"
SWVL,Nano-Cap,"Jan 17, 2025",5.34,5.72,4.92,5.00,5.00,-5.66%,"40,947"
SWVL,Nano-Cap,"Jan 16, 2025",5.00,5.70,4.75,5.30,5.30,3.92%,"27,713"
SWVL,Nano-Cap,"Jan 15, 2025",5.09,5.13,4.83,5.10,5.10,7.37%,"23,114"
SWVL,Nano-Cap,"Jan 14, 2025",4.99,5.39,4.72,4.75,4.75,-4.04%,"46,396"
SWVL,Nano-Cap,"Jan 13, 2025",4.88,5.66,4.85,4.95,4.95,-2.23%,"28,789"
SWVL,Nano-Cap,"Jan 10, 2025",4.54,5.08,4.52,5.06,5.06,12.01%,"30,798"
SWVL,Nano-Cap,"Jan 8, 2025",5.72,5.72,4.50,4.52,4.52,-20.72%,"45,396"
SWVL,Nano-Cap,"Jan 7, 2025",6.02,6.28,5.50,5.70,5.70,-6.54%,"25,295"
SWVL,Nano-Cap,"Jan 6, 2025",6.10,6.40,6.10,6.10,6.10,-1.61%,"14,316"
SWVL,Nano-Cap,"Jan 3, 2025",6.30,6.40,6.09,6.20,6.20,-3.13%,"26,090"
SWVL,Nano-Cap,"Jan 2, 2025",5.64,6.58,5.64,6.40,6.40,0.27%,"29,325"
SWVL,Nano-Cap,"Dec 31, 2024",6.40,6.51,6.25,6.38,6.38,-1.19%,"14,481"
SWVL,Nano-Cap,"Dec 30, 2024",6.45,6.46,6.30,6.46,6.46,-0.62%,"11,514"
SWVL,Nano-Cap,"Dec 27, 2024",6.64,6.70,6.31,6.50,6.50,-0.61%,"9,440"
SWVL,Nano-Cap,"Dec 26, 2024",6.70,6.70,6.35,6.54,6.54,3.48%,"16,505"
SWVL,Nano-Cap,"Dec 24, 2024",6.23,6.47,6.22,6.32,6.32,-1.40%,"12,171"
SWVL,Nano-Cap,"Dec 23, 2024",6.58,6.69,6.40,6.41,6.41,-0.31%,"12,357"
SWVL,Nano-Cap,"Dec 20, 2024",6.13,6.75,6.13,6.43,6.43,-0.62%,"23,759"
SWVL,Nano-Cap,"Dec 19, 2024",6.49,6.50,6.21,6.47,6.47,1.89%,"29,521"
SWVL,Nano-Cap,"Dec 18, 2024",6.90,6.97,6.31,6.35,6.35,-7.84%,"34,317"
SWVL,Nano-Cap,"Dec 17, 2024",6.30,7.20,6.30,6.89,6.89,6.99%,"48,632"
SWVL,Nano-Cap,"Dec 16, 2024",6.28,6.44,6.06,6.44,6.44,-,"31,768"
SWVL,Nano-Cap,"Dec 13, 2024",6.32,6.45,6.00,6.44,6.44,1.58%,"19,357"
SWVL,Nano-Cap,"Dec 12, 2024",6.28,6.48,6.07,6.34,6.34,-1.25%,"36,794"
SWVL,Nano-Cap,"Dec 11, 2024",6.35,6.42,6.00,6.42,6.42,0.31%,"35,405"
SWVL,Nano-Cap,"Dec 10, 2024",6.49,6.50,6.27,6.40,6.40,0.31%,"27,699"
SWVL,Nano-Cap,"Dec 9, 2024",6.57,6.57,6.12,6.38,6.38,-,"30,602"
