symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ZBAO,Nano-Cap,"Feb 14, 2025",1.37,1.48,1.30,1.43,1.43,1.42%,"14,680"
ZBAO,Nano-Cap,"Feb 13, 2025",1.43,1.45,1.35,1.41,1.41,-1.40%,"17,926"
ZBAO,Nano-Cap,"Feb 12, 2025",1.45,1.46,1.37,1.43,1.43,-2.05%,"13,659"
ZBAO,Nano-Cap,"Feb 11, 2025",1.48,1.48,1.44,1.46,1.46,-3.31%,"11,365"
ZBAO,Nano-Cap,"Feb 10, 2025",1.46,1.51,1.41,1.51,1.51,2.72%,"15,082"
ZBAO,Nano-Cap,"Feb 7, 2025",1.54,1.54,1.41,1.47,1.47,1.38%,"8,273"
ZBAO,Nano-Cap,"Feb 6, 2025",1.51,1.51,1.41,1.45,1.45,-3.97%,"17,609"
ZBAO,Nano-Cap,"Feb 5, 2025",1.57,1.57,1.44,1.51,1.51,-3.51%,"82,795"
ZBAO,Nano-Cap,"Feb 4, 2025",1.58,1.64,1.44,1.57,1.57,0.97%,"67,870"
ZBAO,Nano-Cap,"Feb 3, 2025",1.63,1.63,1.43,1.55,1.55,-1.27%,"49,187"
ZBAO,Nano-Cap,"Jan 31, 2025",1.50,1.64,1.50,1.57,1.57,-0.63%,"11,945"
ZBAO,Nano-Cap,"Jan 30, 2025",1.62,1.64,1.58,1.58,1.58,-1.25%,"18,016"
ZBAO,Nano-Cap,"Jan 29, 2025",1.55,1.61,1.50,1.60,1.60,3.90%,"35,392"
ZBAO,Nano-Cap,"Jan 28, 2025",1.24,1.56,1.24,1.54,1.54,14.07%,"45,749"
ZBAO,Nano-Cap,"Jan 27, 2025",1.43,1.63,1.21,1.35,1.35,-9.70%,"35,122"
ZBAO,Nano-Cap,"Jan 24, 2025",1.48,1.55,1.47,1.50,1.50,2.40%,"11,104"
ZBAO,Nano-Cap,"Jan 23, 2025",1.48,1.49,1.45,1.46,1.46,-2.01%,"4,595"
ZBAO,Nano-Cap,"Jan 22, 2025",1.51,1.51,1.40,1.49,1.49,-0.67%,"6,479"
ZBAO,Nano-Cap,"Jan 21, 2025",1.47,1.50,1.40,1.50,1.50,-0.66%,"7,489"
ZBAO,Nano-Cap,"Jan 17, 2025",1.53,1.53,1.39,1.51,1.51,2.03%,"19,434"
ZBAO,Nano-Cap,"Jan 16, 2025",1.52,1.52,1.45,1.48,1.48,0.68%,"13,194"
ZBAO,Nano-Cap,"Jan 15, 2025",1.56,1.56,1.40,1.47,1.47,-2.65%,"10,003"
ZBAO,Nano-Cap,"Jan 14, 2025",1.52,1.55,1.39,1.51,1.51,2.03%,"18,810"
ZBAO,Nano-Cap,"Jan 13, 2025",1.59,1.59,1.42,1.48,1.48,-3.90%,"24,890"
ZBAO,Nano-Cap,"Jan 10, 2025",1.52,1.54,1.43,1.54,1.54,0.65%,"21,253"
ZBAO,Nano-Cap,"Jan 8, 2025",1.49,1.63,1.46,1.53,1.53,2.00%,"24,266"
ZBAO,Nano-Cap,"Jan 7, 2025",1.62,1.62,1.48,1.50,1.50,-5.96%,"54,448"
ZBAO,Nano-Cap,"Jan 6, 2025",1.65,1.65,1.55,1.60,1.60,-2.15%,"36,457"
ZBAO,Nano-Cap,"Jan 3, 2025",1.63,1.63,1.50,1.63,1.63,1.87%,"38,429"
ZBAO,Nano-Cap,"Jan 2, 2025",1.72,1.72,1.45,1.60,1.60,1.91%,"29,966"
ZBAO,Nano-Cap,"Dec 31, 2024",1.80,1.80,1.55,1.57,1.57,-10.29%,"58,038"
ZBAO,Nano-Cap,"Dec 30, 2024",1.78,1.82,1.57,1.75,1.75,-0.57%,"126,004"
ZBAO,Nano-Cap,"Dec 27, 2024",1.73,1.81,1.56,1.76,1.76,2.92%,"27,988"
ZBAO,Nano-Cap,"Dec 26, 2024",1.88,1.88,1.67,1.71,1.71,-6.04%,"53,958"
ZBAO,Nano-Cap,"Dec 24, 2024",1.95,1.95,1.80,1.82,1.82,-7.14%,"42,348"
ZBAO,Nano-Cap,"Dec 23, 2024",2.00,2.00,1.74,1.96,1.96,3.70%,"50,281"
ZBAO,Nano-Cap,"Dec 20, 2024",1.85,1.89,1.69,1.89,1.89,1.61%,"65,717"
ZBAO,Nano-Cap,"Dec 19, 2024",1.79,1.94,1.69,1.86,1.86,-3.63%,"73,507"
ZBAO,Nano-Cap,"Dec 18, 2024",1.80,1.98,1.80,1.93,1.93,-1.03%,"42,096"
ZBAO,Nano-Cap,"Dec 17, 2024",2.10,2.20,1.58,1.95,1.95,-9.72%,"147,624"
ZBAO,Nano-Cap,"Dec 16, 2024",2.28,2.49,2.08,2.16,2.16,-4.00%,"82,774"
ZBAO,Nano-Cap,"Dec 13, 2024",2.42,2.44,2.25,2.25,2.25,-11.07%,"59,827"
ZBAO,Nano-Cap,"Dec 12, 2024",2.39,2.59,2.32,2.53,2.53,2.85%,"52,509"
ZBAO,Nano-Cap,"Dec 11, 2024",2.21,2.49,2.05,2.46,2.46,11.82%,"137,274"
ZBAO,Nano-Cap,"Dec 10, 2024",2.41,2.50,2.20,2.20,2.20,-17.60%,"108,323"
ZBAO,Nano-Cap,"Dec 9, 2024",2.45,2.73,2.29,2.67,2.67,-4.30%,"422,228"
ZBAO,Nano-Cap,"Dec 6, 2024",3.99,4.27,2.55,2.79,2.79,9.41%,"10,743,342"
ZBAO,Nano-Cap,"Dec 5, 2024",2.47,2.62,2.18,2.55,2.55,2.82%,"2,310,822"
ZBAO,Nano-Cap,"Dec 4, 2024",2.46,2.76,2.08,2.48,2.48,-4.62%,"5,815"
ZBAO,Nano-Cap,"Dec 3, 2024",2.68,2.80,2.42,2.60,2.60,-2.99%,"8,212"
ZBAO,Nano-Cap,"Dec 2, 2024",2.80,2.80,2.68,2.68,2.68,-5.96%,"6,774"
ZBAO,Nano-Cap,"Nov 29, 2024",2.83,2.86,2.83,2.85,2.85,0.35%,"3,754"
ZBAO,Nano-Cap,"Nov 27, 2024",2.88,2.88,2.83,2.84,2.84,1.43%,"4,390"
ZBAO,Nano-Cap,"Nov 26, 2024",2.69,2.95,2.66,2.80,2.80,4.36%,"7,215"
ZBAO,Nano-Cap,"Nov 25, 2024",3.02,3.02,2.55,2.68,2.68,-10.57%,"9,814"
ZBAO,Nano-Cap,"Nov 22, 2024",2.80,3.00,2.57,3.00,3.00,12.36%,"10,521"
ZBAO,Nano-Cap,"Nov 21, 2024",2.99,3.00,2.36,2.67,2.67,-5.32%,"23,478"
ZBAO,Nano-Cap,"Nov 20, 2024",3.00,3.20,2.82,2.82,2.82,-8.44%,"12,038"
ZBAO,Nano-Cap,"Nov 19, 2024",3.46,3.46,3.08,3.08,3.08,-4.05%,"19,056"
ZBAO,Nano-Cap,"Nov 18, 2024",3.40,3.43,3.00,3.21,3.21,-4.18%,"14,812"
ZBAO,Nano-Cap,"Nov 15, 2024",3.40,3.40,3.35,3.35,3.35,-3.46%,799
ZBAO,Nano-Cap,"Nov 14, 2024",3.50,3.50,3.45,3.47,3.47,0.58%,"1,291"
ZBAO,Nano-Cap,"Nov 13, 2024",3.50,3.50,3.42,3.45,3.45,-4.17%,927
ZBAO,Nano-Cap,"Nov 12, 2024",3.50,3.60,3.15,3.60,3.60,-1.37%,"3,265"
ZBAO,Nano-Cap,"Nov 11, 2024",3.65,3.66,3.60,3.65,3.65,-0.27%,"1,903"
ZBAO,Nano-Cap,"Nov 8, 2024",3.66,3.66,3.41,3.66,3.66,1.67%,"1,636"
ZBAO,Nano-Cap,"Nov 7, 2024",3.50,3.60,3.50,3.60,3.60,-1.91%,"1,713"
ZBAO,Nano-Cap,"Nov 6, 2024",3.60,3.67,3.35,3.67,3.67,-0.27%,"1,923"
ZBAO,Nano-Cap,"Nov 5, 2024",3.50,3.68,3.47,3.68,3.68,5.14%,"3,229"
ZBAO,Nano-Cap,"Nov 4, 2024",3.30,3.64,3.30,3.50,3.50,-,"2,071"
ZBAO,Nano-Cap,"Nov 1, 2024",3.49,3.50,3.48,3.50,3.50,1.39%,"4,356"
ZBAO,Nano-Cap,"Oct 31, 2024",3.24,3.50,3.18,3.45,3.45,9.59%,"5,279"
ZBAO,Nano-Cap,"Oct 30, 2024",3.20,3.20,3.15,3.15,3.15,-0.32%,"1,765"
ZBAO,Nano-Cap,"Oct 29, 2024",3.18,3.18,3.00,3.16,3.16,0.96%,"11,579"
ZBAO,Nano-Cap,"Oct 28, 2024",3.28,3.28,3.05,3.13,3.13,-1.26%,"7,896"
ZBAO,Nano-Cap,"Oct 25, 2024",3.20,3.20,3.15,3.17,3.17,-4.58%,"3,420"
ZBAO,Nano-Cap,"Oct 24, 2024",3.49,3.49,3.31,3.32,3.32,-0.84%,"2,096"
ZBAO,Nano-Cap,"Oct 23, 2024",3.50,3.50,3.35,3.35,3.35,-3.46%,"1,033"
ZBAO,Nano-Cap,"Oct 22, 2024",3.50,3.50,3.35,3.47,3.47,-3.88%,"1,240"
ZBAO,Nano-Cap,"Oct 21, 2024",3.28,3.61,3.28,3.61,3.61,16.45%,"2,903"
ZBAO,Nano-Cap,"Oct 18, 2024",3.49,3.49,3.10,3.10,3.10,-14.93%,"2,963"
ZBAO,Nano-Cap,"Oct 17, 2024",3.40,3.64,3.25,3.64,3.64,7.18%,"1,835"
ZBAO,Nano-Cap,"Oct 16, 2024",3.90,3.90,3.01,3.40,3.40,-9.09%,"18,725"
ZBAO,Nano-Cap,"Oct 15, 2024",3.90,3.90,3.74,3.74,3.74,-1.58%,"1,240"
ZBAO,Nano-Cap,"Oct 14, 2024",3.88,3.88,3.70,3.80,3.80,3.97%,"1,821"
ZBAO,Nano-Cap,"Oct 11, 2024",3.85,3.87,3.66,3.66,3.66,-3.31%,"1,171"
ZBAO,Nano-Cap,"Oct 10, 2024",3.90,3.90,3.61,3.78,3.78,0.80%,"2,241"
ZBAO,Nano-Cap,"Oct 9, 2024",3.81,3.88,3.60,3.75,3.75,3.31%,"3,210"
ZBAO,Nano-Cap,"Oct 8, 2024",3.80,3.80,3.60,3.63,3.63,-5.96%,"3,086"
ZBAO,Nano-Cap,"Oct 7, 2024",3.95,3.95,3.86,3.86,3.86,-1.03%,"1,603"
ZBAO,Nano-Cap,"Oct 4, 2024",3.92,3.92,3.90,3.90,3.90,0.52%,496
ZBAO,Nano-Cap,"Oct 3, 2024",3.92,3.92,3.71,3.88,3.88,0.26%,"4,071"
ZBAO,Nano-Cap,"Oct 2, 2024",4.00,4.00,3.87,3.87,3.87,4.03%,"1,031"
ZBAO,Nano-Cap,"Oct 1, 2024",3.81,3.81,3.64,3.72,3.72,1.33%,"1,455"
ZBAO,Nano-Cap,"Sep 30, 2024",3.85,3.85,3.56,3.67,3.67,2.83%,"2,711"
ZBAO,Nano-Cap,"Sep 27, 2024",3.77,3.77,3.57,3.57,3.57,-0.89%,"12,549"
ZBAO,Nano-Cap,"Sep 26, 2024",3.87,3.87,3.60,3.60,3.60,-2.12%,"2,620"
ZBAO,Nano-Cap,"Sep 25, 2024",3.87,3.92,3.67,3.68,3.68,-4.91%,"7,567"
ZBAO,Nano-Cap,"Sep 24, 2024",3.94,3.95,3.66,3.87,3.87,-2.03%,"8,450"
ZBAO,Nano-Cap,"Sep 23, 2024",4.03,4.03,3.95,3.95,3.95,-0.75%,"1,230"
