symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ZEPP,Nano-Cap,"Feb 14, 2025",2.89,3.04,2.89,3.03,3.03,4.12%,"12,257"
ZEPP,Nano-Cap,"Feb 13, 2025",2.95,2.98,2.81,2.91,2.91,-3.32%,"13,600"
ZEPP,Nano-Cap,"Feb 12, 2025",2.75,3.01,2.75,3.01,3.01,3.79%,"23,282"
ZEPP,Nano-Cap,"Feb 11, 2025",2.77,2.90,2.77,2.90,2.90,1.75%,"9,175"
ZEPP,Nano-Cap,"Feb 10, 2025",2.90,2.92,2.73,2.85,2.85,-1.38%,"29,610"
ZEPP,Nano-Cap,"Feb 7, 2025",2.94,2.96,2.85,2.89,2.89,-3.02%,"11,099"
ZEPP,Nano-Cap,"Feb 6, 2025",2.88,2.98,2.82,2.98,2.98,1.71%,"19,607"
ZEPP,Nano-Cap,"Feb 5, 2025",2.89,2.97,2.85,2.93,2.93,-0.68%,"6,353"
ZEPP,Nano-Cap,"Feb 4, 2025",2.72,2.95,2.72,2.95,2.95,3.87%,"18,539"
ZEPP,Nano-Cap,"Feb 3, 2025",2.72,2.84,2.72,2.84,2.84,1.43%,"10,866"
ZEPP,Nano-Cap,"Jan 31, 2025",2.73,2.84,2.68,2.80,2.80,-,"16,950"
ZEPP,Nano-Cap,"Jan 30, 2025",2.73,2.82,2.61,2.80,2.80,0.54%,"26,831"
ZEPP,Nano-Cap,"Jan 29, 2025",2.72,2.84,2.69,2.79,2.79,3.15%,"6,312"
ZEPP,Nano-Cap,"Jan 28, 2025",2.75,2.80,2.61,2.70,2.70,-4.59%,"15,376"
ZEPP,Nano-Cap,"Jan 27, 2025",3.00,3.00,2.71,2.83,2.83,-4.87%,"30,441"
ZEPP,Nano-Cap,"Jan 24, 2025",2.96,3.01,2.92,2.98,2.98,-0.83%,"9,320"
ZEPP,Nano-Cap,"Jan 23, 2025",2.93,3.01,2.92,3.00,3.00,-0.33%,"10,290"
ZEPP,Nano-Cap,"Jan 22, 2025",3.05,3.13,3.00,3.01,3.01,-3.83%,"45,919"
ZEPP,Nano-Cap,"Jan 21, 2025",3.01,3.13,2.92,3.13,3.13,3.64%,"5,692"
ZEPP,Nano-Cap,"Jan 17, 2025",2.93,3.12,2.90,3.02,3.02,2.03%,"6,189"
ZEPP,Nano-Cap,"Jan 16, 2025",2.94,3.08,2.86,2.96,2.96,0.34%,"6,293"
ZEPP,Nano-Cap,"Jan 15, 2025",2.86,3.01,2.81,2.95,2.95,2.08%,"8,359"
ZEPP,Nano-Cap,"Jan 14, 2025",2.97,3.04,2.82,2.89,2.89,-5.25%,"12,733"
ZEPP,Nano-Cap,"Jan 13, 2025",3.08,3.13,2.88,3.05,3.05,-4.39%,"24,743"
ZEPP,Nano-Cap,"Jan 10, 2025",3.19,3.30,2.89,3.19,3.19,5.98%,"20,004"
ZEPP,Nano-Cap,"Jan 8, 2025",2.72,3.02,2.72,3.01,3.01,3.79%,"11,247"
ZEPP,Nano-Cap,"Jan 7, 2025",2.92,3.38,2.90,2.90,2.90,-0.34%,"54,279"
ZEPP,Nano-Cap,"Jan 6, 2025",2.97,3.05,2.85,2.91,2.91,0.17%,"12,439"
ZEPP,Nano-Cap,"Jan 3, 2025",2.89,3.03,2.86,2.91,2.91,1.22%,"5,295"
ZEPP,Nano-Cap,"Jan 2, 2025",2.60,2.94,2.60,2.87,2.87,10.38%,"7,454"
ZEPP,Nano-Cap,"Dec 31, 2024",2.73,2.89,2.53,2.60,2.60,-3.70%,"15,631"
ZEPP,Nano-Cap,"Dec 30, 2024",2.73,3.10,2.56,2.70,2.70,-2.70%,"80,488"
ZEPP,Nano-Cap,"Dec 27, 2024",2.79,2.87,2.75,2.78,2.78,-3.65%,"10,303"
ZEPP,Nano-Cap,"Dec 26, 2024",2.82,2.98,2.81,2.88,2.88,-3.36%,"11,973"
ZEPP,Nano-Cap,"Dec 24, 2024",2.76,2.99,2.76,2.98,2.98,3.83%,"8,196"
ZEPP,Nano-Cap,"Dec 23, 2024",2.74,2.87,2.74,2.87,2.87,2.68%,"5,054"
ZEPP,Nano-Cap,"Dec 20, 2024",2.74,2.82,2.73,2.80,2.80,0.18%,"5,326"
ZEPP,Nano-Cap,"Dec 19, 2024",2.76,2.94,2.73,2.79,2.79,-1.06%,"5,382"
ZEPP,Nano-Cap,"Dec 18, 2024",2.88,2.89,2.80,2.82,2.82,-2.42%,"11,594"
ZEPP,Nano-Cap,"Dec 17, 2024",2.98,3.00,2.80,2.89,2.89,-5.25%,"9,017"
ZEPP,Nano-Cap,"Dec 16, 2024",2.83,3.05,2.79,3.05,3.05,5.17%,"10,250"
ZEPP,Nano-Cap,"Dec 13, 2024",2.78,2.92,2.78,2.90,2.90,4.17%,"4,046"
ZEPP,Nano-Cap,"Dec 12, 2024",2.84,2.95,2.78,2.78,2.78,-6.26%,"3,346"
