symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
BBUC,Small-Cap,"Feb 14, 2025",26.28,26.82,26.28,26.47,26.47,2.04%,"36,187"
BBUC,Small-Cap,"Feb 13, 2025",25.47,25.98,25.08,25.94,25.94,3.02%,"37,358"
BBUC,Small-Cap,"Feb 12, 2025",24.94,25.58,24.94,25.18,25.18,-1.02%,"45,198"
BBUC,Small-Cap,"Feb 11, 2025",24.44,25.67,24.42,25.44,25.44,3.04%,"33,876"
BBUC,Small-Cap,"Feb 10, 2025",24.31,24.98,24.17,24.69,24.69,1.94%,"44,720"
BBUC,Small-Cap,"Feb 7, 2025",24.31,24.68,24.19,24.22,24.22,-0.70%,"50,891"
BBUC,Small-Cap,"Feb 6, 2025",24.62,24.79,24.36,24.39,24.39,-0.16%,"40,740"
BBUC,Small-Cap,"Feb 5, 2025",23.91,24.71,23.83,24.43,24.43,3.04%,"50,690"
BBUC,Small-Cap,"Feb 4, 2025",23.02,23.83,23.02,23.71,23.71,2.42%,"51,192"
BBUC,Small-Cap,"Feb 3, 2025",23.54,23.54,22.55,23.15,23.15,-3.02%,"52,250"
BBUC,Small-Cap,"Jan 31, 2025",23.69,24.41,23.57,23.87,23.87,0.72%,"64,001"
BBUC,Small-Cap,"Jan 30, 2025",23.76,23.93,23.45,23.70,23.70,1.02%,"63,469"
BBUC,Small-Cap,"Jan 29, 2025",23.74,23.90,23.38,23.46,23.46,-1.51%,"37,867"
BBUC,Small-Cap,"Jan 28, 2025",23.98,24.29,23.70,23.82,23.82,-0.87%,"33,749"
BBUC,Small-Cap,"Jan 27, 2025",23.09,24.29,23.09,24.03,24.03,2.87%,"72,856"
BBUC,Small-Cap,"Jan 24, 2025",23.09,23.53,23.08,23.36,23.36,0.13%,"34,270"
BBUC,Small-Cap,"Jan 23, 2025",23.09,23.45,23.03,23.33,23.33,0.82%,"33,916"
BBUC,Small-Cap,"Jan 22, 2025",23.21,23.37,22.88,23.14,23.14,-1.24%,"44,563"
BBUC,Small-Cap,"Jan 21, 2025",23.58,23.74,23.16,23.43,23.43,0.43%,"64,704"
BBUC,Small-Cap,"Jan 17, 2025",23.92,24.03,23.33,23.33,23.33,-1.06%,"41,183"
BBUC,Small-Cap,"Jan 16, 2025",24.00,24.31,23.53,23.58,23.58,-1.71%,"61,652"
BBUC,Small-Cap,"Jan 15, 2025",24.11,24.21,23.76,23.99,23.99,1.35%,"37,681"
