symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
GDRX,Small-Cap,"Feb 14, 2025",5.09,5.16,4.99,5.04,5.04,0.20%,"588,375"
GDRX,Small-Cap,"Feb 13, 2025",4.88,5.04,4.84,5.03,5.03,4.14%,"608,027"
GDRX,Small-Cap,"Feb 12, 2025",4.86,4.93,4.76,4.83,4.83,-1.23%,"1,053,158"
GDRX,Small-Cap,"Feb 11, 2025",4.91,5.08,4.87,4.89,4.89,-1.41%,"559,332"
GDRX,Small-Cap,"Feb 10, 2025",4.93,5.01,4.86,4.96,4.96,2.48%,"711,536"
GDRX,Small-Cap,"Feb 7, 2025",4.83,5.00,4.79,4.84,4.84,0.41%,"795,015"
GDRX,Small-Cap,"Feb 6, 2025",4.85,4.90,4.73,4.82,4.82,0.84%,"675,949"
GDRX,Small-Cap,"Feb 5, 2025",4.86,4.88,4.70,4.78,4.78,-0.83%,"1,396,895"
GDRX,Small-Cap,"Feb 4, 2025",4.74,4.88,4.71,4.82,4.82,2.55%,"858,780"
GDRX,Small-Cap,"Feb 3, 2025",4.63,4.83,4.59,4.70,4.70,-1.47%,"905,111"
GDRX,Small-Cap,"Jan 31, 2025",4.81,4.93,4.75,4.77,4.77,-3.64%,"1,069,625"
GDRX,Small-Cap,"Jan 30, 2025",4.85,4.98,4.81,4.95,4.95,2.27%,"624,743"
GDRX,Small-Cap,"Jan 29, 2025",4.91,4.91,4.71,4.84,4.84,-1.02%,"1,286,032"
GDRX,Small-Cap,"Jan 28, 2025",4.85,4.94,4.82,4.89,4.89,0.82%,"474,915"
GDRX,Small-Cap,"Jan 27, 2025",4.95,4.98,4.77,4.85,4.85,-2.02%,"886,659"
GDRX,Small-Cap,"Jan 24, 2025",4.87,4.96,4.80,4.95,4.95,0.41%,"753,859"
GDRX,Small-Cap,"Jan 23, 2025",4.71,4.93,4.66,4.93,4.93,4.67%,"1,173,707"
GDRX,Small-Cap,"Jan 22, 2025",4.72,4.76,4.63,4.71,4.71,-,"750,707"
GDRX,Small-Cap,"Jan 21, 2025",4.60,4.89,4.59,4.71,4.71,3.06%,"1,457,887"
GDRX,Small-Cap,"Jan 17, 2025",4.41,4.61,4.38,4.57,4.57,3.39%,"1,843,921"
GDRX,Small-Cap,"Jan 16, 2025",4.36,4.44,4.29,4.42,4.42,1.61%,"814,099"
GDRX,Small-Cap,"Jan 15, 2025",4.19,4.37,4.19,4.35,4.35,4.82%,"1,238,938"
GDRX,Small-Cap,"Jan 14, 2025",4.22,4.27,4.13,4.15,4.15,-1.66%,"1,116,127"
GDRX,Small-Cap,"Jan 13, 2025",4.47,4.54,4.12,4.22,4.22,-7.25%,"1,987,494"
GDRX,Small-Cap,"Jan 10, 2025",4.25,4.57,4.21,4.55,4.55,6.31%,"1,950,493"
GDRX,Small-Cap,"Jan 8, 2025",4.38,4.40,4.25,4.28,4.28,-2.95%,"711,304"
GDRX,Small-Cap,"Jan 7, 2025",4.53,4.63,4.34,4.41,4.41,-2.86%,"1,074,027"
GDRX,Small-Cap,"Jan 6, 2025",4.49,4.70,4.47,4.54,4.54,2.02%,"1,590,435"
GDRX,Small-Cap,"Jan 3, 2025",4.58,4.61,4.38,4.45,4.45,-2.41%,"2,067,720"
GDRX,Small-Cap,"Jan 2, 2025",4.60,4.75,4.54,4.56,4.56,-1.94%,"707,851"
GDRX,Small-Cap,"Dec 31, 2024",4.51,4.67,4.51,4.65,4.65,3.10%,"1,136,806"
GDRX,Small-Cap,"Dec 30, 2024",4.55,4.67,4.48,4.51,4.51,-2.38%,"999,471"
GDRX,Small-Cap,"Dec 27, 2024",4.50,4.65,4.48,4.62,4.62,2.21%,"842,757"
GDRX,Small-Cap,"Dec 26, 2024",4.40,4.55,4.36,4.52,4.52,0.67%,"1,039,986"
GDRX,Small-Cap,"Dec 24, 2024",4.53,4.56,4.40,4.49,4.49,-0.66%,"506,948"
GDRX,Small-Cap,"Dec 23, 2024",4.38,4.53,4.37,4.52,4.52,1.80%,"964,628"
GDRX,Small-Cap,"Dec 20, 2024",4.48,4.63,4.40,4.44,4.44,-1.11%,"3,245,889"
GDRX,Small-Cap,"Dec 19, 2024",4.38,4.54,4.37,4.49,4.49,2.75%,"1,121,568"
GDRX,Small-Cap,"Dec 18, 2024",4.48,4.68,4.32,4.37,4.37,-2.02%,"1,730,512"
GDRX,Small-Cap,"Dec 17, 2024",4.64,4.66,4.35,4.46,4.46,-2.83%,"1,558,229"
GDRX,Small-Cap,"Dec 16, 2024",4.66,4.76,4.59,4.59,4.59,-2.55%,"1,195,998"
GDRX,Small-Cap,"Dec 13, 2024",4.67,4.72,4.66,4.71,4.71,0.21%,"645,024"
GDRX,Small-Cap,"Dec 12, 2024",4.86,4.87,4.66,4.70,4.70,-3.29%,"784,853"
GDRX,Small-Cap,"Dec 11, 2024",4.94,4.96,4.82,4.86,4.86,-1.22%,"772,667"
GDRX,Small-Cap,"Dec 10, 2024",4.96,5.05,4.88,4.92,4.92,-0.81%,"758,683"
GDRX,Small-Cap,"Dec 9, 2024",4.93,5.04,4.91,4.96,4.96,1.02%,"919,278"
GDRX,Small-Cap,"Dec 6, 2024",4.93,5.03,4.88,4.91,4.91,0.20%,"924,126"
GDRX,Small-Cap,"Dec 5, 2024",5.08,5.08,4.87,4.90,4.90,-3.35%,"731,927"
GDRX,Small-Cap,"Dec 4, 2024",4.86,5.09,4.83,5.07,5.07,3.05%,"1,264,539"
GDRX,Small-Cap,"Dec 3, 2024",4.90,4.95,4.75,4.92,4.92,-0.61%,"1,062,173"
GDRX,Small-Cap,"Dec 2, 2024",4.82,4.98,4.75,4.95,4.95,2.27%,"1,095,841"
GDRX,Small-Cap,"Nov 29, 2024",4.92,4.92,4.79,4.84,4.84,-0.41%,"576,444"
GDRX,Small-Cap,"Nov 27, 2024",4.79,4.89,4.78,4.86,4.86,2.10%,"682,485"
GDRX,Small-Cap,"Nov 26, 2024",4.83,4.87,4.71,4.76,4.76,-2.66%,"1,010,672"
GDRX,Small-Cap,"Nov 25, 2024",4.92,5.05,4.81,4.89,4.89,-0.20%,"1,708,918"
GDRX,Small-Cap,"Nov 22, 2024",4.28,4.91,4.24,4.90,4.90,14.22%,"2,978,123"
GDRX,Small-Cap,"Nov 21, 2024",4.31,4.40,4.19,4.29,4.29,-0.46%,"2,424,479"
GDRX,Small-Cap,"Nov 20, 2024",4.21,4.32,4.18,4.31,4.31,1.65%,"1,183,666"
GDRX,Small-Cap,"Nov 19, 2024",4.23,4.27,4.11,4.24,4.24,-0.70%,"1,360,334"
GDRX,Small-Cap,"Nov 18, 2024",4.18,4.39,4.16,4.27,4.27,2.89%,"3,814,812"
GDRX,Small-Cap,"Nov 15, 2024",4.50,4.55,4.09,4.15,4.15,-8.99%,"3,407,805"
