symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
HG,Small-Cap,"Feb 14, 2025",18.80,19.04,18.55,18.63,18.63,-1.43%,"310,761"
HG,Small-Cap,"Feb 13, 2025",18.84,19.01,18.60,18.90,18.90,0.53%,"283,598"
HG,Small-Cap,"Feb 12, 2025",19.00,19.12,18.69,18.80,18.80,-1.36%,"364,263"
HG,Small-Cap,"Feb 11, 2025",18.74,19.27,18.74,19.06,19.06,1.44%,"359,240"
HG,Small-Cap,"Feb 10, 2025",18.90,18.95,18.78,18.79,18.79,-0.53%,"289,171"
HG,Small-Cap,"Feb 7, 2025",19.00,19.00,18.76,18.89,18.89,-0.37%,"283,713"
HG,Small-Cap,"Feb 6, 2025",18.76,19.02,18.65,18.96,18.96,1.17%,"193,601"
HG,Small-Cap,"Feb 5, 2025",18.63,18.75,18.39,18.74,18.74,1.19%,"260,074"
HG,Small-Cap,"Feb 4, 2025",18.81,18.98,18.52,18.52,18.52,-1.49%,"459,575"
HG,Small-Cap,"Feb 3, 2025",18.77,18.97,18.57,18.80,18.80,-1.73%,"331,119"
HG,Small-Cap,"Jan 31, 2025",19.22,19.33,18.90,19.13,19.13,-1.24%,"505,469"
HG,Small-Cap,"Jan 30, 2025",19.90,19.90,19.29,19.37,19.37,-1.77%,"270,916"
HG,Small-Cap,"Jan 29, 2025",19.56,19.95,19.55,19.72,19.72,-,"343,067"
HG,Small-Cap,"Jan 28, 2025",19.68,19.92,19.40,19.72,19.72,-0.10%,"295,478"
HG,Small-Cap,"Jan 27, 2025",19.21,19.82,19.13,19.74,19.74,3.73%,"318,549"
HG,Small-Cap,"Jan 24, 2025",19.06,19.20,18.91,19.03,19.03,-0.42%,"301,667"
HG,Small-Cap,"Jan 23, 2025",19.05,19.20,18.87,19.11,19.11,0.10%,"299,716"
HG,Small-Cap,"Jan 22, 2025",19.62,19.62,18.80,19.09,19.09,-3.34%,"503,029"
HG,Small-Cap,"Jan 21, 2025",19.47,19.86,19.43,19.75,19.75,1.86%,"524,744"
HG,Small-Cap,"Jan 17, 2025",19.56,19.65,19.36,19.39,19.39,-,"523,069"
HG,Small-Cap,"Jan 16, 2025",18.73,19.45,18.73,19.39,19.39,3.63%,"259,869"
HG,Small-Cap,"Jan 15, 2025",18.59,18.77,18.45,18.71,18.71,2.46%,"217,939"
HG,Small-Cap,"Jan 14, 2025",18.34,18.66,18.19,18.26,18.26,-0.27%,"387,948"
HG,Small-Cap,"Jan 13, 2025",18.50,18.56,18.11,18.31,18.31,-1.72%,"494,063"
HG,Small-Cap,"Jan 10, 2025",18.59,18.82,18.33,18.63,18.63,-1.22%,"530,599"
HG,Small-Cap,"Jan 8, 2025",18.87,18.94,18.50,18.86,18.86,-,"542,114"
