symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
HUT,Small-Cap,"Feb 14, 2025",20.57,20.88,20.27,20.47,20.47,-,"2,203,482"
HUT,Small-Cap,"Feb 13, 2025",20.23,20.56,19.68,20.47,20.47,0.74%,"2,820,693"
HUT,Small-Cap,"Feb 12, 2025",19.81,20.52,19.42,20.32,20.32,1.14%,"2,044,421"
HUT,Small-Cap,"Feb 11, 2025",20.55,21.08,20.02,20.09,20.09,-3.46%,"3,029,637"
HUT,Small-Cap,"Feb 10, 2025",21.25,21.28,20.57,20.81,20.81,-0.34%,"2,342,257"
HUT,Small-Cap,"Feb 7, 2025",21.74,22.85,20.67,20.88,20.88,-1.04%,"3,741,623"
HUT,Small-Cap,"Feb 6, 2025",21.12,21.78,20.56,21.10,21.10,1.34%,"2,436,074"
HUT,Small-Cap,"Feb 5, 2025",21.55,22.20,20.79,20.82,20.82,-3.48%,"3,114,935"
HUT,Small-Cap,"Feb 4, 2025",21.26,21.95,21.16,21.57,21.57,-0.32%,"2,866,688"
HUT,Small-Cap,"Feb 3, 2025",19.04,21.93,18.70,21.64,21.64,-0.23%,"6,128,776"
HUT,Small-Cap,"Jan 31, 2025",21.54,22.75,21.36,21.69,21.69,0.88%,"6,558,986"
HUT,Small-Cap,"Jan 30, 2025",20.65,21.71,20.51,21.50,21.50,6.91%,"4,791,325"
HUT,Small-Cap,"Jan 29, 2025",19.44,20.47,19.16,20.11,20.11,2.55%,"4,211,187"
HUT,Small-Cap,"Jan 28, 2025",20.37,20.37,18.85,19.61,19.61,-0.86%,"5,519,590"
HUT,Small-Cap,"Jan 27, 2025",23.89,24.00,18.65,19.78,19.78,-24.04%,"13,189,957"
HUT,Small-Cap,"Jan 24, 2025",26.30,27.82,25.62,26.04,26.04,2.40%,"6,741,223"
HUT,Small-Cap,"Jan 23, 2025",25.00,27.24,24.94,25.43,25.43,-1.66%,"5,368,599"
HUT,Small-Cap,"Jan 22, 2025",25.56,26.40,24.72,25.86,25.86,-1.00%,"5,154,002"
HUT,Small-Cap,"Jan 21, 2025",27.34,27.58,25.23,26.12,26.12,-2.97%,"5,966,551"
HUT,Small-Cap,"Jan 17, 2025",27.71,29.28,26.37,26.92,26.92,1.24%,"10,173,164"
HUT,Small-Cap,"Jan 16, 2025",25.56,27.08,25.55,26.59,26.59,1.26%,"4,974,401"
HUT,Small-Cap,"Jan 15, 2025",25.43,26.76,25.03,26.26,26.26,10.06%,"6,109,224"
HUT,Small-Cap,"Jan 14, 2025",24.30,24.98,23.24,23.86,23.86,4.06%,"4,251,981"
HUT,Small-Cap,"Jan 13, 2025",22.19,22.94,21.45,22.93,22.93,-2.01%,"3,938,356"
HUT,Small-Cap,"Jan 10, 2025",22.76,23.47,22.14,23.40,23.40,-0.43%,"4,352,517"
HUT,Small-Cap,"Jan 8, 2025",23.82,24.31,22.54,23.50,23.50,-5.43%,"5,044,053"
HUT,Small-Cap,"Jan 7, 2025",27.20,27.20,24.36,24.85,24.85,-6.82%,"7,142,674"
HUT,Small-Cap,"Jan 6, 2025",24.58,27.06,24.43,26.67,26.67,10.39%,"7,675,695"
HUT,Small-Cap,"Jan 3, 2025",21.80,24.17,21.63,24.16,24.16,10.37%,"5,321,922"
HUT,Small-Cap,"Jan 2, 2025",21.10,22.16,20.73,21.89,21.89,6.83%,"4,095,085"
HUT,Small-Cap,"Dec 31, 2024",22.54,22.84,20.34,20.49,20.49,-4.74%,"4,189,028"
HUT,Small-Cap,"Dec 30, 2024",21.50,22.04,20.80,21.51,21.51,-3.63%,"4,005,090"
HUT,Small-Cap,"Dec 27, 2024",24.01,24.17,22.12,22.32,22.32,-6.57%,"4,649,382"
HUT,Small-Cap,"Dec 26, 2024",23.83,24.60,23.30,23.89,23.89,-1.61%,"3,042,416"
HUT,Small-Cap,"Dec 24, 2024",22.92,24.63,22.77,24.28,24.28,12.15%,"3,821,876"
HUT,Small-Cap,"Dec 23, 2024",23.79,23.81,21.56,21.65,21.65,-8.57%,"5,707,634"
HUT,Small-Cap,"Dec 20, 2024",23.09,24.44,22.81,23.68,23.68,-0.50%,"7,353,298"
