symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
LEU,Small-Cap,"Feb 14, 2025",118.00,118.00,112.50,113.99,113.99,-3.21%,"561,146"
LEU,Small-Cap,"Feb 13, 2025",121.50,122.00,111.78,117.77,117.77,-0.79%,"938,996"
LEU,Small-Cap,"Feb 12, 2025",113.37,122.95,113.00,118.71,118.71,4.13%,"1,221,097"
LEU,Small-Cap,"Feb 11, 2025",112.57,118.97,112.40,114.00,114.00,-0.34%,"1,124,019"
LEU,Small-Cap,"Feb 10, 2025",107.00,119.42,104.50,114.39,114.39,5.03%,"1,627,757"
LEU,Small-Cap,"Feb 7, 2025",94.90,111.90,86.90,108.91,108.91,33.13%,"4,301,548"
LEU,Small-Cap,"Feb 6, 2025",85.24,85.54,78.84,81.81,81.81,-3.07%,"669,491"
LEU,Small-Cap,"Feb 5, 2025",79.65,86.83,79.51,84.40,84.40,4.98%,"700,465"
LEU,Small-Cap,"Feb 4, 2025",85.33,85.60,78.75,80.40,80.40,-1.80%,"517,079"
LEU,Small-Cap,"Feb 3, 2025",78.00,83.23,77.01,81.87,81.87,-0.52%,"390,297"
LEU,Small-Cap,"Jan 31, 2025",86.91,87.46,82.14,82.30,82.30,-3.61%,"689,987"
LEU,Small-Cap,"Jan 30, 2025",82.78,86.88,82.64,85.38,85.38,4.92%,"552,729"
LEU,Small-Cap,"Jan 29, 2025",79.58,82.70,79.20,81.38,81.38,3.12%,"508,408"
LEU,Small-Cap,"Jan 28, 2025",80.00,81.03,75.00,78.92,78.92,0.93%,"629,495"
LEU,Small-Cap,"Jan 27, 2025",83.50,84.23,76.50,78.19,78.19,-15.01%,"1,896,407"
LEU,Small-Cap,"Jan 24, 2025",97.90,99.57,91.31,92.00,92.00,-2.34%,"882,985"
LEU,Small-Cap,"Jan 23, 2025",89.35,97.70,89.00,94.20,94.20,3.73%,"1,111,854"
LEU,Small-Cap,"Jan 22, 2025",94.39,94.39,88.64,90.81,90.81,2.58%,"1,199,393"
LEU,Small-Cap,"Jan 21, 2025",81.63,89.38,79.07,88.53,88.53,13.75%,"1,369,485"
LEU,Small-Cap,"Jan 17, 2025",75.22,79.12,74.13,77.83,77.83,5.09%,"699,612"
LEU,Small-Cap,"Jan 16, 2025",74.51,75.05,72.02,74.06,74.06,0.60%,"295,477"
LEU,Small-Cap,"Jan 15, 2025",72.00,74.14,70.15,73.62,73.62,5.38%,"782,465"
LEU,Small-Cap,"Jan 14, 2025",72.03,72.75,68.60,69.86,69.86,0.14%,"250,047"
LEU,Small-Cap,"Jan 13, 2025",69.45,72.44,68.10,69.76,69.76,-1.51%,"580,495"
LEU,Small-Cap,"Jan 10, 2025",72.42,74.66,69.50,70.83,70.83,-2.20%,"379,005"
LEU,Small-Cap,"Jan 8, 2025",72.33,73.61,69.51,72.42,72.42,-1.67%,"715,674"
LEU,Small-Cap,"Jan 7, 2025",81.07,82.03,72.53,73.65,73.65,-9.72%,"806,421"
LEU,Small-Cap,"Jan 6, 2025",83.80,84.24,80.51,81.58,81.58,0.97%,"568,688"
LEU,Small-Cap,"Jan 3, 2025",75.16,82.01,74.77,80.80,80.80,9.12%,"763,398"
LEU,Small-Cap,"Jan 2, 2025",67.52,74.34,67.52,74.05,74.05,11.17%,"642,846"
LEU,Small-Cap,"Dec 31, 2024",68.79,69.88,65.11,66.61,66.61,-1.84%,"576,250"
LEU,Small-Cap,"Dec 30, 2024",69.76,70.76,67.15,67.86,67.86,-4.03%,"503,968"
LEU,Small-Cap,"Dec 27, 2024",73.30,74.77,68.76,70.71,70.71,-2.64%,"458,813"
LEU,Small-Cap,"Dec 26, 2024",68.00,73.00,67.80,72.63,72.63,5.20%,"471,422"
LEU,Small-Cap,"Dec 24, 2024",68.47,69.57,66.51,69.04,69.04,1.17%,"215,797"
LEU,Small-Cap,"Dec 23, 2024",67.05,68.66,65.60,68.24,68.24,2.16%,"535,088"
LEU,Small-Cap,"Dec 20, 2024",66.74,70.61,66.51,66.80,66.80,-2.10%,"721,964"
LEU,Small-Cap,"Dec 19, 2024",70.00,71.42,67.00,68.23,68.23,-1.57%,"667,298"
LEU,Small-Cap,"Dec 18, 2024",73.00,74.65,68.00,69.32,69.32,-3.59%,"703,253"
LEU,Small-Cap,"Dec 17, 2024",76.74,76.74,68.80,71.90,71.90,-6.31%,"769,354"
LEU,Small-Cap,"Dec 16, 2024",72.42,78.00,70.06,76.74,76.74,5.97%,"714,963"
LEU,Small-Cap,"Dec 13, 2024",74.62,76.99,72.08,72.42,72.42,-2.84%,"333,910"
LEU,Small-Cap,"Dec 12, 2024",75.61,78.00,73.60,74.54,74.54,-0.76%,"486,564"
LEU,Small-Cap,"Dec 11, 2024",76.00,79.34,74.35,75.11,75.11,4.95%,"994,733"
LEU,Small-Cap,"Dec 10, 2024",72.16,74.96,70.70,71.57,71.57,-1.43%,"506,064"
LEU,Small-Cap,"Dec 9, 2024",78.41,79.12,72.20,72.61,72.61,-7.26%,"690,730"
LEU,Small-Cap,"Dec 6, 2024",79.73,81.95,76.63,78.29,78.29,-0.65%,"625,682"
LEU,Small-Cap,"Dec 5, 2024",76.00,80.04,73.75,78.80,78.80,2.94%,"776,897"
LEU,Small-Cap,"Dec 4, 2024",77.30,80.72,76.05,76.55,76.55,-0.48%,"967,954"
LEU,Small-Cap,"Dec 3, 2024",82.00,82.50,74.40,76.92,76.92,-6.73%,"1,211,725"
LEU,Small-Cap,"Dec 2, 2024",92.82,92.82,82.10,82.47,82.47,-9.37%,"1,011,661"
LEU,Small-Cap,"Nov 29, 2024",83.89,92.40,83.04,91.00,91.00,10.32%,"838,138"
LEU,Small-Cap,"Nov 27, 2024",82.30,86.35,82.09,82.49,82.49,1.28%,"787,072"
LEU,Small-Cap,"Nov 26, 2024",82.76,89.18,81.41,81.45,81.45,-2.07%,"725,624"
LEU,Small-Cap,"Nov 25, 2024",88.42,88.77,81.80,83.17,83.17,-4.24%,"935,596"
LEU,Small-Cap,"Nov 22, 2024",83.92,87.85,78.50,86.85,86.85,8.70%,"1,802,377"
LEU,Small-Cap,"Nov 21, 2024",76.09,82.14,72.92,79.90,79.90,6.33%,"1,269,488"
LEU,Small-Cap,"Nov 20, 2024",70.00,75.80,66.37,75.14,75.14,9.69%,"1,453,465"
LEU,Small-Cap,"Nov 19, 2024",71.45,71.85,64.56,68.50,68.50,-10.41%,"2,514,377"
LEU,Small-Cap,"Nov 18, 2024",72.00,79.37,70.50,76.46,76.46,8.98%,"1,247,728"
LEU,Small-Cap,"Nov 15, 2024",76.49,81.80,68.65,70.16,70.16,-11.57%,"2,605,725"
LEU,Small-Cap,"Nov 14, 2024",82.36,83.38,78.39,79.34,79.34,-2.77%,"832,572"
LEU,Small-Cap,"Nov 13, 2024",93.49,95.00,80.30,81.60,81.60,-10.83%,"1,596,453"
LEU,Small-Cap,"Nov 12, 2024",89.11,92.43,86.17,91.51,91.51,-0.09%,"1,385,192"
LEU,Small-Cap,"Nov 11, 2024",95.00,95.00,87.67,91.59,91.59,-0.19%,"1,082,724"
LEU,Small-Cap,"Nov 8, 2024",88.70,94.59,86.66,91.76,91.76,5.96%,"1,711,490"
LEU,Small-Cap,"Nov 7, 2024",88.47,91.76,84.31,86.60,86.60,-0.56%,"1,857,461"
LEU,Small-Cap,"Nov 6, 2024",81.50,87.99,78.00,87.09,87.09,15.00%,"2,799,429"
LEU,Small-Cap,"Nov 5, 2024",75.81,78.00,72.71,75.73,75.73,-2.91%,"5,244,948"
LEU,Small-Cap,"Nov 4, 2024",93.50,94.99,76.00,78.00,78.00,-28.79%,"5,727,338"
LEU,Small-Cap,"Nov 1, 2024",106.30,118.36,102.77,109.53,109.53,5.51%,"1,314,103"
LEU,Small-Cap,"Oct 31, 2024",102.00,108.25,98.00,103.81,103.81,0.50%,"845,085"
LEU,Small-Cap,"Oct 30, 2024",106.16,108.74,99.85,103.29,103.29,-1.58%,"1,011,307"
LEU,Small-Cap,"Oct 29, 2024",89.05,105.28,82.56,104.95,104.95,11.79%,"2,103,249"
LEU,Small-Cap,"Oct 28, 2024",90.24,98.00,89.00,93.88,93.88,9.18%,"1,835,010"
LEU,Small-Cap,"Oct 25, 2024",85.33,91.65,84.01,85.99,85.99,0.77%,"905,716"
LEU,Small-Cap,"Oct 24, 2024",90.73,92.86,84.23,85.33,85.33,-5.74%,"1,039,012"
LEU,Small-Cap,"Oct 23, 2024",90.65,93.92,88.15,90.53,90.53,-3.03%,"1,509,121"
LEU,Small-Cap,"Oct 22, 2024",95.00,99.90,87.19,93.36,93.36,-1.19%,"1,871,315"
LEU,Small-Cap,"Oct 21, 2024",104.00,104.50,92.15,94.48,94.48,-4.17%,"2,281,662"
LEU,Small-Cap,"Oct 18, 2024",84.53,100.87,82.35,98.59,98.59,21.64%,"2,990,190"
LEU,Small-Cap,"Oct 17, 2024",84.00,90.20,79.34,81.05,81.05,4.73%,"3,148,376"
LEU,Small-Cap,"Oct 16, 2024",62.82,77.49,62.82,77.39,77.39,26.25%,"2,265,135"
LEU,Small-Cap,"Oct 15, 2024",59.60,64.38,58.97,61.30,61.30,3.69%,"600,807"
LEU,Small-Cap,"Oct 14, 2024",59.63,59.90,56.95,59.12,59.12,-0.57%,"499,381"
