symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SBLK,Small-Cap,"Feb 14, 2025",16.17,16.25,15.90,16.10,16.10,0.63%,"2,548,939"
SBLK,Small-Cap,"Feb 13, 2025",15.73,16.05,15.70,16.00,16.00,1.78%,"1,724,528"
SBLK,Small-Cap,"Feb 12, 2025",15.61,15.79,15.39,15.72,15.72,0.58%,"1,751,058"
SBLK,Small-Cap,"Feb 11, 2025",15.67,15.76,15.47,15.63,15.63,-0.19%,"1,438,483"
SBLK,Small-Cap,"Feb 10, 2025",15.47,15.68,15.41,15.66,15.66,1.82%,"1,200,009"
SBLK,Small-Cap,"Feb 7, 2025",15.55,15.62,15.28,15.38,15.38,-0.19%,"1,356,556"
SBLK,Small-Cap,"Feb 6, 2025",15.73,15.84,15.37,15.41,15.41,-1.47%,"1,178,237"
SBLK,Small-Cap,"Feb 5, 2025",15.55,15.77,15.55,15.64,15.64,-0.38%,"1,406,947"
SBLK,Small-Cap,"Feb 4, 2025",15.37,15.93,15.32,15.70,15.70,3.49%,"1,676,814"
SBLK,Small-Cap,"Feb 3, 2025",14.95,15.37,14.80,15.17,15.17,-1.30%,"1,222,852"
SBLK,Small-Cap,"Jan 31, 2025",15.70,15.70,15.34,15.37,15.37,-1.22%,"1,385,732"
SBLK,Small-Cap,"Jan 30, 2025",15.35,15.72,15.12,15.56,15.56,1.90%,"1,569,544"
SBLK,Small-Cap,"Jan 29, 2025",14.95,15.27,14.91,15.27,15.27,2.48%,"1,251,377"
SBLK,Small-Cap,"Jan 28, 2025",14.92,15.09,14.79,14.90,14.90,0.20%,"942,816"
SBLK,Small-Cap,"Jan 27, 2025",14.70,15.06,14.63,14.87,14.87,0.41%,"1,286,233"
SBLK,Small-Cap,"Jan 24, 2025",14.90,14.94,14.65,14.81,14.81,-0.20%,"1,476,034"
SBLK,Small-Cap,"Jan 23, 2025",14.38,14.89,14.30,14.84,14.84,3.41%,"1,831,302"
SBLK,Small-Cap,"Jan 22, 2025",14.51,14.62,14.31,14.35,14.35,-2.25%,"2,511,375"
SBLK,Small-Cap,"Jan 21, 2025",14.84,14.84,14.40,14.68,14.68,-,"2,613,903"
SBLK,Small-Cap,"Jan 17, 2025",14.63,14.92,14.48,14.68,14.68,-0.27%,"2,059,318"
SBLK,Small-Cap,"Jan 16, 2025",15.09,15.10,14.62,14.72,14.72,-3.29%,"2,150,440"
SBLK,Small-Cap,"Jan 15, 2025",15.14,15.24,15.02,15.22,15.22,0.59%,"1,538,535"
SBLK,Small-Cap,"Jan 14, 2025",15.21,15.25,14.96,15.13,15.13,-0.33%,"1,673,937"
SBLK,Small-Cap,"Jan 13, 2025",15.25,15.37,14.91,15.18,15.18,-0.46%,"1,824,334"
SBLK,Small-Cap,"Jan 10, 2025",15.32,15.58,15.20,15.25,15.25,2.62%,"2,758,379"
SBLK,Small-Cap,"Jan 8, 2025",14.72,14.96,14.37,14.86,14.86,0.27%,"1,916,808"
SBLK,Small-Cap,"Jan 7, 2025",14.72,14.98,14.64,14.82,14.82,0.95%,"1,877,380"
SBLK,Small-Cap,"Jan 6, 2025",15.30,15.41,14.64,14.68,14.68,-3.55%,"2,224,284"
SBLK,Small-Cap,"Jan 3, 2025",15.56,15.67,15.18,15.22,15.22,-1.81%,"1,482,894"
SBLK,Small-Cap,"Jan 2, 2025",15.28,15.68,15.20,15.50,15.50,3.68%,"1,563,441"
