symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SKWD,Small-Cap,"Feb 14, 2025",50.80,51.11,48.89,49.86,49.86,-1.89%,"327,003"
SKWD,Small-Cap,"Feb 13, 2025",48.91,51.11,48.77,50.82,50.82,4.29%,"255,774"
SKWD,Small-Cap,"Feb 12, 2025",48.28,48.93,47.85,48.73,48.73,-0.18%,"177,445"
SKWD,Small-Cap,"Feb 11, 2025",48.82,49.14,47.88,48.82,48.82,-,"184,976"
SKWD,Small-Cap,"Feb 10, 2025",49.55,49.55,48.55,48.82,48.82,0.62%,"321,408"
SKWD,Small-Cap,"Feb 7, 2025",49.35,49.67,47.54,48.52,48.52,-1.66%,"340,740"
SKWD,Small-Cap,"Feb 6, 2025",47.83,49.72,47.33,49.34,49.34,2.98%,"498,476"
SKWD,Small-Cap,"Feb 5, 2025",46.73,48.00,46.46,47.91,47.91,2.48%,"346,091"
SKWD,Small-Cap,"Feb 4, 2025",46.20,47.82,45.89,46.75,46.75,1.08%,"898,151"
SKWD,Small-Cap,"Feb 3, 2025",43.52,46.31,43.48,46.25,46.25,4.45%,"1,397,786"
SKWD,Small-Cap,"Jan 31, 2025",43.50,44.49,42.94,44.28,44.28,1.28%,"503,464"
SKWD,Small-Cap,"Jan 30, 2025",43.57,44.03,42.84,43.72,43.72,0.55%,"283,611"
SKWD,Small-Cap,"Jan 29, 2025",43.08,43.96,42.71,43.48,43.48,0.42%,"257,527"
SKWD,Small-Cap,"Jan 28, 2025",42.99,43.71,42.86,43.30,43.30,1.48%,"224,256"
SKWD,Small-Cap,"Jan 27, 2025",42.21,43.38,41.72,42.67,42.67,1.23%,"301,615"
SKWD,Small-Cap,"Jan 24, 2025",42.10,42.62,41.28,42.15,42.15,0.12%,"495,886"
SKWD,Small-Cap,"Jan 23, 2025",43.57,43.77,41.64,42.10,42.10,-3.95%,"567,978"
SKWD,Small-Cap,"Jan 22, 2025",44.18,44.35,43.48,43.83,43.83,-0.79%,"222,326"
SKWD,Small-Cap,"Jan 21, 2025",44.97,45.58,43.93,44.18,44.18,-1.60%,"267,906"
SKWD,Small-Cap,"Jan 17, 2025",45.19,45.71,44.80,44.90,44.90,-0.27%,"186,290"
SKWD,Small-Cap,"Jan 16, 2025",44.98,45.71,44.84,45.02,45.02,0.04%,"213,944"
SKWD,Small-Cap,"Jan 15, 2025",45.54,45.54,44.70,45.00,45.00,1.42%,"209,876"
SKWD,Small-Cap,"Jan 14, 2025",43.16,44.61,43.07,44.37,44.37,3.21%,"294,961"
SKWD,Small-Cap,"Jan 13, 2025",42.24,43.05,41.78,42.99,42.99,1.13%,"512,909"
SKWD,Small-Cap,"Jan 10, 2025",44.84,45.03,42.03,42.51,42.51,-6.80%,"451,985"
SKWD,Small-Cap,"Jan 8, 2025",45.71,45.99,44.96,45.61,45.61,0.20%,"329,165"
SKWD,Small-Cap,"Jan 7, 2025",45.31,45.95,44.30,45.52,45.52,0.95%,"430,802"
SKWD,Small-Cap,"Jan 6, 2025",46.40,47.20,45.00,45.09,45.09,-2.97%,"565,125"
SKWD,Small-Cap,"Jan 3, 2025",49.01,49.32,46.36,46.47,46.47,-5.26%,"475,844"
SKWD,Small-Cap,"Jan 2, 2025",50.63,50.78,48.98,49.05,49.05,-2.95%,"187,844"
SKWD,Small-Cap,"Dec 31, 2024",50.24,50.96,50.15,50.54,50.54,0.99%,"247,143"
SKWD,Small-Cap,"Dec 30, 2024",50.51,50.56,49.79,50.05,50.05,-1.49%,"238,417"
SKWD,Small-Cap,"Dec 27, 2024",51.27,51.57,50.39,50.80,50.80,-1.24%,"166,324"
SKWD,Small-Cap,"Dec 26, 2024",50.82,51.66,50.38,51.44,51.44,0.78%,"179,077"
SKWD,Small-Cap,"Dec 24, 2024",49.97,51.04,49.90,51.04,51.04,2.33%,"221,142"
SKWD,Small-Cap,"Dec 23, 2024",50.82,50.82,49.77,49.88,49.88,-2.20%,"161,683"
SKWD,Small-Cap,"Dec 20, 2024",49.05,51.23,48.72,51.00,51.00,2.20%,"540,763"
SKWD,Small-Cap,"Dec 19, 2024",50.42,51.64,49.79,49.90,49.90,-0.68%,"248,725"
SKWD,Small-Cap,"Dec 18, 2024",51.51,51.89,49.86,50.24,50.24,-2.47%,"337,906"
SKWD,Small-Cap,"Dec 17, 2024",52.51,52.51,51.44,51.51,51.51,-2.18%,"272,108"
SKWD,Small-Cap,"Dec 16, 2024",52.59,52.92,51.81,52.66,52.66,0.98%,"152,928"
SKWD,Small-Cap,"Dec 13, 2024",52.12,52.54,51.56,52.15,52.15,0.81%,"139,374"
SKWD,Small-Cap,"Dec 12, 2024",51.39,52.57,51.24,51.73,51.73,1.15%,"224,965"
SKWD,Small-Cap,"Dec 11, 2024",50.15,51.56,49.39,51.14,51.14,2.34%,"257,035"
SKWD,Small-Cap,"Dec 10, 2024",51.07,51.08,49.83,49.97,49.97,-2.63%,"394,962"
SKWD,Small-Cap,"Dec 9, 2024",53.18,53.55,51.28,51.32,51.32,-4.36%,"237,468"
