symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
TARS,Small-Cap,"Feb 14, 2025",52.36,52.52,50.01,50.22,50.22,-3.85%,"315,387"
TARS,Small-Cap,"Feb 13, 2025",52.75,53.22,51.09,52.23,52.23,-0.19%,"439,493"
TARS,Small-Cap,"Feb 12, 2025",50.65,52.97,50.65,52.33,52.33,2.17%,"460,920"
TARS,Small-Cap,"Feb 11, 2025",51.47,52.01,49.86,51.22,51.22,-1.04%,"515,071"
TARS,Small-Cap,"Feb 10, 2025",53.33,53.56,50.95,51.76,51.76,-2.25%,"543,659"
TARS,Small-Cap,"Feb 7, 2025",53.32,54.28,51.35,52.95,52.95,-0.69%,"620,700"
TARS,Small-Cap,"Feb 6, 2025",56.57,56.96,52.57,53.32,53.32,-6.36%,"587,262"
TARS,Small-Cap,"Feb 5, 2025",54.89,57.28,54.89,56.94,56.94,4.48%,"421,759"
TARS,Small-Cap,"Feb 4, 2025",54.71,55.98,54.21,54.50,54.50,0.66%,"310,379"
TARS,Small-Cap,"Feb 3, 2025",52.47,56.21,52.08,54.14,54.14,0.71%,"399,764"
TARS,Small-Cap,"Jan 31, 2025",52.25,54.53,51.84,53.76,53.76,3.90%,"372,733"
TARS,Small-Cap,"Jan 30, 2025",53.25,53.77,51.30,51.74,51.74,-2.51%,"509,944"
TARS,Small-Cap,"Jan 29, 2025",50.87,53.44,50.30,53.07,53.07,3.94%,"366,904"
TARS,Small-Cap,"Jan 28, 2025",51.50,51.67,50.05,51.06,51.06,-0.76%,"328,450"
TARS,Small-Cap,"Jan 27, 2025",48.69,54.08,48.20,51.45,51.45,5.47%,"712,576"
TARS,Small-Cap,"Jan 24, 2025",49.30,50.20,48.08,48.78,48.78,-0.69%,"464,371"
TARS,Small-Cap,"Jan 23, 2025",47.89,50.02,47.55,49.12,49.12,2.10%,"579,865"
TARS,Small-Cap,"Jan 22, 2025",46.73,48.34,46.38,48.11,48.11,2.93%,"458,491"
TARS,Small-Cap,"Jan 21, 2025",46.96,48.00,45.72,46.74,46.74,0.47%,"551,245"
TARS,Small-Cap,"Jan 17, 2025",47.29,47.54,46.05,46.52,46.52,-0.85%,"357,670"
TARS,Small-Cap,"Jan 16, 2025",46.50,47.25,45.61,46.92,46.92,0.77%,"437,805"
TARS,Small-Cap,"Jan 15, 2025",45.75,46.69,44.40,46.56,46.56,5.03%,"938,163"
TARS,Small-Cap,"Jan 14, 2025",47.82,47.87,43.61,44.33,44.33,-5.72%,"1,060,243"
TARS,Small-Cap,"Jan 13, 2025",49.97,50.70,45.76,47.02,47.02,-10.76%,"1,249,653"
TARS,Small-Cap,"Jan 10, 2025",54.05,54.38,51.94,52.69,52.69,-4.62%,"807,895"
TARS,Small-Cap,"Jan 8, 2025",54.79,55.95,53.31,55.24,55.24,0.29%,"904,964"
TARS,Small-Cap,"Jan 7, 2025",56.50,57.00,52.69,55.08,55.08,-1.99%,"890,708"
TARS,Small-Cap,"Jan 6, 2025",55.99,56.85,54.89,56.20,56.20,0.95%,"1,829,374"
TARS,Small-Cap,"Jan 3, 2025",55.14,56.02,54.18,55.67,55.67,0.94%,"584,940"
TARS,Small-Cap,"Jan 2, 2025",55.91,57.14,54.53,55.15,55.15,-0.40%,"834,217"
TARS,Small-Cap,"Dec 31, 2024",55.04,56.31,54.52,55.37,55.37,1.22%,"742,027"
TARS,Small-Cap,"Dec 30, 2024",54.69,57.14,53.51,54.70,54.70,-0.55%,"506,643"
TARS,Small-Cap,"Dec 27, 2024",54.13,55.22,53.86,55.00,55.00,1.20%,"478,975"
TARS,Small-Cap,"Dec 26, 2024",53.80,55.01,53.01,54.35,54.35,0.57%,"273,685"
TARS,Small-Cap,"Dec 24, 2024",54.88,54.88,53.66,54.04,54.04,-0.68%,"128,793"
TARS,Small-Cap,"Dec 23, 2024",52.73,54.61,51.62,54.41,54.41,2.84%,"431,966"
TARS,Small-Cap,"Dec 20, 2024",50.52,53.62,50.20,52.91,52.91,1.75%,"816,369"
TARS,Small-Cap,"Dec 19, 2024",52.92,53.50,50.54,52.00,52.00,-1.33%,"580,288"
TARS,Small-Cap,"Dec 18, 2024",53.61,56.77,51.84,52.70,52.70,-1.05%,"850,169"
TARS,Small-Cap,"Dec 17, 2024",51.61,53.54,51.08,53.26,53.26,2.96%,"528,715"
TARS,Small-Cap,"Dec 16, 2024",52.64,53.85,51.23,51.73,51.73,-1.47%,"473,617"
TARS,Small-Cap,"Dec 13, 2024",49.20,52.99,48.45,52.50,52.50,2.78%,"674,505"
TARS,Small-Cap,"Dec 12, 2024",51.59,52.67,49.70,51.08,51.08,-2.03%,"747,057"
TARS,Small-Cap,"Dec 11, 2024",51.25,54.44,50.49,52.14,52.14,2.94%,"436,561"
TARS,Small-Cap,"Dec 10, 2024",50.59,51.58,50.19,50.65,50.65,-0.02%,"763,368"
TARS,Small-Cap,"Dec 9, 2024",51.64,51.89,49.35,50.66,50.66,-2.18%,"299,870"
TARS,Small-Cap,"Dec 6, 2024",50.80,52.02,49.99,51.79,51.79,2.92%,"335,487"
TARS,Small-Cap,"Dec 5, 2024",51.58,51.73,50.27,50.32,50.32,-2.56%,"295,792"
TARS,Small-Cap,"Dec 4, 2024",50.54,52.13,50.11,51.64,51.64,2.46%,"333,386"
TARS,Small-Cap,"Dec 3, 2024",50.18,51.02,49.65,50.40,50.40,-0.04%,"634,292"
TARS,Small-Cap,"Dec 2, 2024",52.49,52.78,49.82,50.42,50.42,-3.87%,"604,459"
TARS,Small-Cap,"Nov 29, 2024",50.99,52.65,50.88,52.45,52.45,3.17%,"290,714"
TARS,Small-Cap,"Nov 27, 2024",49.98,51.46,49.95,50.84,50.84,2.38%,"486,401"
TARS,Small-Cap,"Nov 26, 2024",48.35,51.25,48.06,49.66,49.66,2.77%,"549,397"
TARS,Small-Cap,"Nov 25, 2024",48.77,49.09,47.63,48.32,48.32,0.17%,"522,284"
TARS,Small-Cap,"Nov 22, 2024",46.63,48.50,45.98,48.24,48.24,3.97%,"589,206"
TARS,Small-Cap,"Nov 21, 2024",46.86,47.60,45.19,46.40,46.40,-0.39%,"445,178"
TARS,Small-Cap,"Nov 20, 2024",46.90,47.37,45.73,46.58,46.58,-0.66%,"356,384"
TARS,Small-Cap,"Nov 19, 2024",44.06,46.90,44.00,46.89,46.89,5.06%,"431,267"
TARS,Small-Cap,"Nov 18, 2024",44.89,46.79,44.27,44.63,44.63,-0.45%,"817,291"
TARS,Small-Cap,"Nov 15, 2024",46.50,46.50,43.25,44.83,44.83,-3.90%,"1,950,213"
TARS,Small-Cap,"Nov 14, 2024",51.00,52.99,46.65,46.65,46.65,0.31%,"1,213,027"
TARS,Small-Cap,"Nov 13, 2024",47.60,48.84,46.22,46.51,46.51,-2.24%,"857,862"
TARS,Small-Cap,"Nov 12, 2024",48.65,49.62,47.03,47.57,47.57,-3.08%,"624,783"
