symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
VSEC,Small-Cap,"Feb 14, 2025",93.10,97.87,91.55,97.28,97.28,4.50%,"283,983"
VSEC,Small-Cap,"Feb 13, 2025",103.20,103.20,92.70,93.09,93.09,-7.74%,"454,233"
VSEC,Small-Cap,"Feb 12, 2025",104.81,106.80,100.14,100.90,100.90,-5.29%,"215,385"
VSEC,Small-Cap,"Feb 11, 2025",105.80,107.01,103.13,106.54,106.54,-0.26%,"143,912"
VSEC,Small-Cap,"Feb 10, 2025",106.51,108.27,105.82,106.82,106.82,1.08%,"117,951"
VSEC,Small-Cap,"Feb 7, 2025",105.72,107.74,105.14,105.68,105.68,-0.27%,"158,067"
VSEC,Small-Cap,"Feb 6, 2025",105.43,106.46,103.43,105.97,105.97,0.78%,"118,938"
VSEC,Small-Cap,"Feb 5, 2025",104.35,106.06,104.28,105.15,105.15,1.54%,"93,323"
VSEC,Small-Cap,"Feb 4, 2025",101.29,103.56,101.14,103.56,103.56,1.38%,"82,949"
VSEC,Small-Cap,"Feb 3, 2025",100.24,104.31,99.73,102.15,102.15,-0.20%,"179,621"
VSEC,Small-Cap,"Jan 31, 2025",103.03,105.69,101.70,102.35,102.35,-0.68%,"169,205"
VSEC,Small-Cap,"Jan 30, 2025",104.30,104.76,101.96,103.05,103.05,0.17%,"146,322"
VSEC,Small-Cap,"Jan 29, 2025",103.03,104.24,101.82,102.88,102.88,-0.29%,"129,181"
VSEC,Small-Cap,"Jan 28, 2025",100.15,103.59,100.00,103.18,103.18,2.92%,"125,412"
VSEC,Small-Cap,"Jan 27, 2025",105.23,106.90,100.00,100.26,100.26,-5.53%,"266,563"
VSEC,Small-Cap,"Jan 24, 2025",107.02,108.00,105.40,106.12,106.12,-0.79%,"189,883"
VSEC,Small-Cap,"Jan 23, 2025",105.00,107.04,104.11,106.96,106.96,1.17%,"163,868"
VSEC,Small-Cap,"Jan 22, 2025",104.27,106.18,103.53,105.73,105.63,0.90%,"162,643"
VSEC,Small-Cap,"Jan 21, 2025",103.99,107.49,103.27,104.78,104.68,1.35%,"254,240"
VSEC,Small-Cap,"Jan 17, 2025",102.36,104.85,101.81,103.38,103.28,1.57%,"503,157"
VSEC,Small-Cap,"Jan 16, 2025",100.43,102.47,99.16,101.78,101.69,1.32%,"183,844"
VSEC,Small-Cap,"Jan 15, 2025",98.83,101.08,98.65,100.45,100.36,4.68%,"381,514"
VSEC,Small-Cap,"Jan 14, 2025",95.33,96.09,92.80,95.96,95.87,2.00%,"179,119"
VSEC,Small-Cap,"Jan 13, 2025",91.61,94.43,89.94,94.08,93.99,1.81%,"206,770"
VSEC,Small-Cap,"Jan 10, 2025",88.91,92.64,88.69,92.41,92.32,2.14%,"254,983"
VSEC,Small-Cap,"Jan 8, 2025",90.86,93.45,90.08,90.47,90.39,-0.72%,"151,845"
VSEC,Small-Cap,"Jan 7, 2025",94.17,95.52,89.70,91.13,91.05,-2.78%,"386,571"
VSEC,Small-Cap,"Jan 6, 2025",93.39,97.12,93.39,93.74,93.65,0.10%,"329,763"
VSEC,Small-Cap,"Jan 3, 2025",93.36,95.43,92.80,93.65,93.56,0.80%,"185,518"
VSEC,Small-Cap,"Jan 2, 2025",95.60,96.80,92.39,92.91,92.82,-2.30%,"322,801"
VSEC,Small-Cap,"Dec 31, 2024",97.78,98.50,94.13,95.10,95.01,-1.78%,"579,088"
VSEC,Small-Cap,"Dec 30, 2024",96.41,98.28,94.14,96.82,96.73,0.01%,"246,792"
VSEC,Small-Cap,"Dec 27, 2024",97.27,97.84,95.02,96.81,96.72,-1.00%,"168,584"
VSEC,Small-Cap,"Dec 26, 2024",97.87,99.39,97.20,97.79,97.70,-0.61%,"228,861"
VSEC,Small-Cap,"Dec 24, 2024",98.40,99.65,98.10,98.39,98.30,0.12%,"72,850"
VSEC,Small-Cap,"Dec 23, 2024",99.61,99.61,97.70,98.27,98.18,-1.22%,"216,563"
VSEC,Small-Cap,"Dec 20, 2024",100.01,101.63,97.89,99.48,99.39,-2.45%,"874,378"
VSEC,Small-Cap,"Dec 19, 2024",102.78,106.61,101.51,101.98,101.89,-0.23%,"325,085"
VSEC,Small-Cap,"Dec 18, 2024",109.15,110.70,100.78,102.22,102.13,-6.55%,"230,830"
VSEC,Small-Cap,"Dec 17, 2024",109.20,110.12,106.41,109.38,109.28,0.48%,"251,227"
VSEC,Small-Cap,"Dec 16, 2024",107.79,110.73,107.49,108.86,108.76,0.60%,"172,640"
VSEC,Small-Cap,"Dec 13, 2024",109.34,111.87,106.80,108.21,108.11,-0.82%,"113,975"
VSEC,Small-Cap,"Dec 12, 2024",115.81,116.16,108.15,109.10,109.00,-5.55%,"259,847"
VSEC,Small-Cap,"Dec 11, 2024",118.94,119.56,115.03,115.51,115.40,-1.79%,"134,751"
VSEC,Small-Cap,"Dec 10, 2024",115.52,118.93,112.22,117.61,117.50,3.30%,"323,326"
VSEC,Small-Cap,"Dec 9, 2024",119.10,119.98,110.15,113.85,113.74,-4.03%,"332,117"
VSEC,Small-Cap,"Dec 6, 2024",116.02,118.97,115.07,118.63,118.52,3.61%,"318,039"
VSEC,Small-Cap,"Dec 5, 2024",116.50,117.34,114.36,114.50,114.39,-2.05%,"176,307"
VSEC,Small-Cap,"Dec 4, 2024",114.95,118.09,114.23,116.90,116.79,1.71%,"179,732"
VSEC,Small-Cap,"Dec 3, 2024",117.55,119.54,114.44,114.93,114.82,-1.61%,"187,351"
VSEC,Small-Cap,"Dec 2, 2024",117.42,118.15,115.80,116.81,116.70,-0.38%,"265,694"
VSEC,Small-Cap,"Nov 29, 2024",116.24,117.92,115.79,117.26,117.15,1.97%,"74,714"
VSEC,Small-Cap,"Nov 27, 2024",117.39,118.09,114.99,114.99,114.88,-1.09%,"86,574"
VSEC,Small-Cap,"Nov 26, 2024",115.41,117.08,113.89,116.26,116.15,0.15%,"107,180"
VSEC,Small-Cap,"Nov 25, 2024",118.25,121.86,113.82,116.09,115.98,-0.76%,"311,354"
VSEC,Small-Cap,"Nov 22, 2024",115.13,117.70,115.13,116.98,116.87,2.38%,"218,933"
VSEC,Small-Cap,"Nov 21, 2024",115.22,117.10,113.69,114.26,114.15,-0.48%,"149,519"
VSEC,Small-Cap,"Nov 20, 2024",114.93,115.41,113.46,114.81,114.70,-0.50%,"139,117"
VSEC,Small-Cap,"Nov 19, 2024",112.75,116.07,112.56,115.39,115.28,0.94%,"212,153"
VSEC,Small-Cap,"Nov 18, 2024",114.98,116.56,113.67,114.32,114.21,-0.88%,"118,048"
VSEC,Small-Cap,"Nov 15, 2024",117.44,117.44,113.90,115.34,115.23,-1.79%,"136,596"
VSEC,Small-Cap,"Nov 14, 2024",121.66,121.66,116.11,117.44,117.33,-3.23%,"280,198"
VSEC,Small-Cap,"Nov 13, 2024",122.26,123.92,119.90,121.36,121.25,0.17%,"232,530"
VSEC,Small-Cap,"Nov 12, 2024",120.89,121.60,118.75,121.16,121.05,0.31%,"169,332"
VSEC,Small-Cap,"Nov 11, 2024",119.20,120.97,117.93,120.79,120.68,2.54%,"157,464"
VSEC,Small-Cap,"Nov 8, 2024",114.89,118.94,114.14,117.80,117.69,2.95%,"147,819"
VSEC,Small-Cap,"Nov 7, 2024",116.90,116.95,113.22,114.42,114.31,-1.76%,"186,289"
VSEC,Small-Cap,"Nov 6, 2024",108.88,116.84,108.74,116.47,116.36,9.56%,"403,517"
VSEC,Small-Cap,"Nov 5, 2024",103.77,106.69,102.31,106.31,106.12,3.22%,"217,784"
VSEC,Small-Cap,"Nov 4, 2024",103.05,105.04,102.02,102.99,102.81,-0.33%,"154,750"
VSEC,Small-Cap,"Nov 1, 2024",103.26,105.68,102.68,103.33,103.15,0.69%,"204,386"
VSEC,Small-Cap,"Oct 31, 2024",106.75,107.17,102.55,102.62,102.44,-3.44%,"212,555"
VSEC,Small-Cap,"Oct 30, 2024",106.66,108.30,106.25,106.28,106.09,-0.23%,"217,825"
VSEC,Small-Cap,"Oct 29, 2024",104.49,106.65,104.33,106.53,106.34,1.65%,"180,083"
VSEC,Small-Cap,"Oct 28, 2024",103.65,105.07,103.00,104.80,104.61,1.83%,"168,692"
VSEC,Small-Cap,"Oct 25, 2024",102.55,103.34,101.36,102.92,102.74,1.09%,"142,684"
VSEC,Small-Cap,"Oct 24, 2024",101.98,102.61,100.91,101.81,101.63,0.46%,"136,497"
VSEC,Small-Cap,"Oct 23, 2024",100.63,102.11,100.22,101.34,101.16,-0.37%,"164,652"
