symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
DIS,The Walt Disney Company,Large-Cap,110.38,199.54B,92.50B,5.62B,1.81B,3.07,35.90,20.38,$1.00 (0.91%),"Jun 24, 2025","5,948,323",,109.86,109.59,109.59 - 110.50,83.91 - 123.74,1.43,Strong Buy,126.00 (+14.15%),"Feb 5, 2025",Entertainment,Communication Services,"Nov 12, 1957",NYSE
PEP,"PepsiCo, Inc.",Large-Cap,143.39,196.73B,91.85B,9.58B,1.37B,6.95,20.63,17.29,$5.42 (3.78%),"Mar 7, 2025","4,974,351",,144.32,144.58,143.36 - 146.16,141.51 - 183.41,0.55,Buy,172.57 (+20.35%),"Feb 4, 2025",Beverages - Non-Alcoholic,Consumer Staples,1898,NASDAQ
HSBC,HSBC Holdings plc,Large-Cap,55.09,195.35B,57.97B,22.57B,17.98B,1.20,8.66,8.57,$1.98 (3.59%),"Nov 8, 2024","1,123,371",,55.02,55.19,54.91 - 55.28,36.93 - 55.36,0.50,Hold,n/a,"Feb 19, 2025",Banks - Diversified,Financials,1865,NYSE
QCOM,QUALCOMM Incorporated,Large-Cap,172.23,190.38B,40.70B,10.56B,1.11B,9.33,18.59,14.73,$3.40 (1.97%),"Mar 6, 2025","4,681,407",,172.60,172.15,171.05 - 172.82,148.90 - 230.63,1.26,Buy,203.96 (+18.42%),"Feb 5, 2025",Semiconductors,Technology,"Dec 13, 1991",NASDAQ
T,AT&T Inc.,Large-Cap,25.87,185.70B,122.34B,10.75B,7.18B,1.49,17.36,12.15,$1.11 (4.29%),"Jan 10, 2025","31,438,834",,25.67,25.63,25.60 - 25.93,15.94 - 25.93,0.73,Buy,25.89 (+0.08%),"Jan 27, 2025",Telecom Services,Communication Services,1983,NYSE
AMD,"Advanced Micro Devices, Inc.",Large-Cap,113.10,183.28B,25.79B,1.64B,1.62B,1.00,113.10,23.91,n/a,n/a,"32,130,107",,112.50,111.81,111.70 - 114.63,106.50 - 227.30,1.65,Buy,168.19 (+48.71%),"Feb 4, 2025",Semiconductors,Technology,"Sep 27, 1972",NASDAQ
APP,AppLovin Corporation,Large-Cap,510.13,173.47B,4.71B,1.58B,340.04M,4.53,112.50,80.09,n/a,n/a,"11,242,826",,473.63,471.67,462.80 - 516.99,54.50 - 525.15,2.30,Buy,375.95 (-26.3%),"Feb 12, 2025",Software - Application,Technology,"Apr 15, 2021",NASDAQ
VZ,Verizon Communications Inc.,Large-Cap,40.99,172.56B,134.79B,17.51B,4.21B,4.14,9.90,8.77,$2.71 (6.61%),"Jan 10, 2025","10,131,323",,41.14,41.04,40.94 - 41.29,37.59 - 45.36,0.44,Buy,46.19 (+12.69%),"Jan 24, 2025",Telecom Services,Communication Services,"Jul 3, 2000",NYSE
PDD,PDD Holdings Inc.,Large-Cap,124.16,172.43B,53.05B,15.43B,1.39B,10.49,11.83,10.91,n/a,n/a,"11,768,903",,125.23,121.54,122.40 - 126.75,88.01 - 164.69,0.66,Strong Buy,171.50 (+38.13%),"Mar 19, 2025",Internet Retail,Consumer Discretionary,"Jul 26, 2018",NASDAQ
CAT,Caterpillar Inc.,Large-Cap,353.32,168.86B,64.81B,10.79B,477.93M,22.05,16.02,17.22,$5.64 (1.60%),"Jan 21, 2025","1,625,151",,356.60,353.70,352.80 - 358.88,307.05 - 418.50,1.11,Buy,377.18 (+6.75%),"Jan 30, 2025",Farm & Heavy Construction Machinery,Industrials,1925,NYSE
