symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
AAPL,Apple Inc.,Mega-Cap,244.60,3.67T,395.76B,96.15B,15.02B,6.28,38.95,32.44,$1.00 (0.41%),"Feb 10, 2025","40,145,605",,241.07,241.53,241.00 - 245.41,164.08 - 260.10,1.20,Buy,242.36 (-0.92%),"Jan 30, 2025",Consumer Electronics,Technology,"Dec 12, 1980",NASDAQ
NVDA,NVIDIA Corporation,Mega-Cap,138.85,3.40T,113.27B,63.07B,24.49B,2.53,54.83,35.42,$0.04 (0.03%),"Dec 5, 2024","194,448,420",,136.41,135.29,135.50 - 139.19,66.25 - 153.13,1.62,Strong Buy,169.53 (+22.1%),"Feb 26, 2025",Semiconductors,Technology,"Jan 22, 1999",NASDAQ
MSFT,Microsoft Corporation,Mega-Cap,408.43,3.04T,261.80B,92.75B,7.43B,12.41,32.91,29.58,$3.32 (0.81%),"Feb 20, 2025","21,799,548",,407.65,410.54,405.90 - 408.83,385.58 - 468.35,0.89,Strong Buy,510.41 (+24.97%),"Jan 29, 2025",Software - Infrastructure,Technology,"Mar 13, 1986",NASDAQ
AMZN,"Amazon.com, Inc.",Mega-Cap,228.68,2.42T,637.96B,59.25B,10.60B,5.53,41.35,36.17,n/a,n/a,"26,365,555",,229.22,230.37,227.23 - 229.79,151.61 - 242.52,1.16,Strong Buy,262.70 (+14.88%),"Feb 6, 2025",Internet Retail,Consumer Discretionary,"May 15, 1997",NASDAQ
GOOGL,Alphabet Inc.,Mega-Cap,185.23,2.26T,350.02B,100.12B,12.19B,8.04,23.03,20.61,$0.80 (0.43%),"Mar 10, 2025","20,390,327",,185.05,186.14,184.32 - 186.40,130.67 - 207.05,0.99,Buy,212.79 (+14.88%),"Feb 4, 2025",Internet Content & Information,Communication Services,"Aug 19, 2004",NASDAQ
META,"Meta Platforms, Inc.",Mega-Cap,736.67,1.87T,164.50B,62.36B,2.53B,23.86,30.87,29.19,$2.00 (0.27%),"Dec 16, 2024","16,839,183",,726.22,728.56,725.62 - 740.89,414.50 - 740.89,1.20,Strong Buy,714.00 (-3.08%),"Jan 29, 2025",Internet Content & Information,Communication Services,"May 18, 2012",NASDAQ
TSLA,"Tesla, Inc.",Mega-Cap,355.84,1.14T,97.69B,7.13B,3.22B,2.04,174.43,124.21,n/a,n/a,"67,898,313",,360.62,355.94,347.50 - 361.99,138.80 - 488.54,2.34,Hold,315.81 (-11.25%),"Jan 29, 2025",Auto Manufacturers,Consumer Discretionary,"Jun 29, 2010",NASDAQ
AVGO,Broadcom Inc.,Mega-Cap,233.04,1.09T,51.57B,5.90B,4.69B,1.23,180.65,36.66,$2.17 (0.93%),"Dec 23, 2024","16,850,658",,234.79,235.80,228.90 - 235.71,119.76 - 251.88,1.04,Strong Buy,222.58 (-4.49%),"Mar 6, 2025",Semiconductors,Technology,"Aug 6, 2009",NASDAQ
BRK.B,Berkshire Hathaway Inc.,Mega-Cap,479.59,1.03T,369.89B,106.88B,2.16B,49.52,9.68,25.55,n/a,n/a,"2,026,859",,481.47,480.49,479.46 - 484.54,395.66 - 491.67,0.87,Buy,498.00 (+3.84%),"Feb 24, 2025",Insurance - Diversified,Financials,1839,NYSE
TSM,Taiwan Semiconductor Manufacturing Company Limited,Mega-Cap,203.90,860.09B,88.29B,35.79B,25.93B,1.38,24.03,18.09,$2.34 (1.15%),"Mar 18, 2025","22,905,373",,199.98,201.83,197.47 - 206.25,122.91 - 226.40,1.23,Strong Buy,232.50 (+14.03%),"Jan 16, 2025",Semiconductors,Technology,"Sep 5, 1994",NYSE
WMT,Walmart Inc.,Mega-Cap,104.04,835.79B,673.82B,19.68B,8.03B,2.42,42.99,39.17,$0.83 (0.80%),"Dec 13, 2024","11,343,943",,105.30,105.05,103.60 - 105.30,56.43 - 105.30,0.55,Strong Buy,99.00 (-4.84%),"Feb 20, 2025",Discount Stores,Consumer Staples,"Oct 1, 1970",NYSE
JPM,JPMorgan Chase & Co.,Mega-Cap,276.59,773.37B,166.78B,56.87B,2.80B,19.75,14.00,15.12,$5.00 (1.81%),"Jan 6, 2025","4,311,648",,277.37,276.32,276.46 - 279.23,178.16 - 279.23,1.11,Buy,250.53 (-9.42%),"Apr 11, 2025",Banks - Diversified,Financials,1799,NYSE
LLY,Eli Lilly and Company,Mega-Cap,844.27,760.21B,45.04B,10.59B,900.43M,11.71,72.10,36.52,$6.00 (0.71%),"Feb 14, 2025","2,627,936",,869.10,871.86,841.57 - 873.37,711.40 - 972.53,0.41,Strong Buy,985.00 (+15.65%),"Feb 6, 2025",Drug Manufacturers - General,Healthcare,1876,NYSE
V,Visa Inc.,Mega-Cap,353.81,691.19B,36.80B,19.71B,1.95B,9.92,35.68,30.39,$2.36 (0.67%),"Feb 11, 2025","4,218,894",,354.43,355.63,353.22 - 355.43,252.70 - 356.08,0.97,Buy,350.85 (-0.84%),"Jan 30, 2025",Credit Services,Financials,"Mar 19, 2008",NYSE
MA,Mastercard Incorporated,Mega-Cap,564.76,516.09B,28.17B,12.87B,913.82M,13.89,40.66,35.45,$3.04 (0.54%),"Apr 9, 2025","1,347,961",,566.01,566.31,564.13 - 569.24,428.86 - 576.94,1.10,Buy,609.12 (+7.86%),"Jan 30, 2025",Credit Services,Financials,"May 25, 2006",NYSE
ORCL,Oracle Corporation,Mega-Cap,174.16,487.12B,54.93B,11.62B,2.80B,4.09,42.57,26.94,$1.60 (0.92%),"Jan 10, 2025","4,629,755",,174.25,173.86,172.81 - 175.03,106.51 - 198.31,1.05,Buy,186.24 (+6.94%),"Mar 10, 2025",Software - Infrastructure,Technology,"Mar 12, 1986",NYSE
UNH,UnitedHealth Group Incorporated,Mega-Cap,523.51,481.78B,400.28B,14.41B,920.28M,15.51,33.76,17.58,$8.40 (1.61%),"Dec 9, 2024","1,960,922",,529.00,531.18,522.91 - 533.20,436.38 - 630.73,0.62,Strong Buy,623.60 (+19.12%),"Jan 16, 2025",Healthcare Plans,Healthcare,"Oct 17, 1984",NYSE
COST,Costco Wholesale Corporation,Mega-Cap,"1,071.85",475.79B,258.81B,7.58B,443.90M,17.02,62.98,57.93,$4.64 (0.43%),"Feb 7, 2025","1,406,999",,"1,076.48","1,076.86","1,068.01 - 1,077.49","697.27 - 1,078.23",0.83,Buy,"1,008.54 (-5.91%)","Mar 6, 2025",Discount Stores,Consumer Staples,"Sep 22, 1993",NASDAQ
XOM,Exxon Mobil Corporation,Mega-Cap,108.24,471.17B,343.39B,33.68B,4.35B,7.84,13.81,14.93,$3.96 (3.66%),"Feb 12, 2025","11,252,041",,108.52,108.13,108.10 - 110.23,102.65 - 126.34,0.88,Buy,129.12 (+19.29%),"Jan 31, 2025",Oil & Gas Integrated,Energy,1870,NYSE
NFLX,"Netflix, Inc.",Mega-Cap,"1,058.60",452.82B,39.00B,8.71B,427.76M,19.83,53.38,42.58,n/a,n/a,"3,125,806",,"1,045.00","1,043.69","1,041.69 - 1,064.49","542.01 - 1,064.49",1.27,Buy,"1,023.00 (-3.36%)","Jan 21, 2025",Entertainment,Communication Services,"May 23, 2002",NASDAQ
HD,"The Home Depot, Inc.",Mega-Cap,409.50,406.78B,154.60B,14.61B,993.36M,14.72,27.82,26.24,$9.00 (2.20%),"Nov 27, 2024","2,023,938",,415.00,412.43,408.56 - 418.00,323.77 - 439.37,1.06,Buy,431.24 (+5.31%),"Feb 25, 2025",Home Improvement Retail,Consumer Discretionary,"Sep 22, 1981",NYSE
