symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
PBFS,"Pioneer Bancorp, Inc.",Micro-Cap,11.87,299.70M,79.73M,18.25M,25.25M,0.73,16.33,n/a,n/a,n/a,"26,762",,12.00,11.99,11.87 - 12.03,8.76 - 12.03,0.49,n/a,n/a,"Jan 30, 2025",Banks - Regional,Financials,1889,NASDAQ
MTA,Metalla Royalty & Streaming Ltd.,Micro-Cap,3.220,299.53M,5.05M,-6.26M,91.86M,-0.07,n/a,n/a,n/a,n/a,"284,517",,3.370,3.370,3.220 - 3.370,2.320 - 4.080,1.48,Hold,4.50 (+39.75%),"Mar 27, 2025",Other Precious Metals & Mining,Materials,1983,NYSEAMERICAN
ALDF,Aldel Financial II Inc.,Micro-Cap,10.15,298.68M,n/a,3.77M,29.87M,n/a,79.28,n/a,n/a,n/a,"2,620",,10.15,10.15,10.15 - 10.15,9.98 - 11.46,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Oct 22, 2024",NASDAQ
UROY,Uranium Royalty Corp.,Micro-Cap,2.215,297.96M,27.48M,3.41M,133.59M,0.03,87.49,n/a,n/a,n/a,"2,069,219",,2.350,2.325,2.210 - 2.355,1.860 - 3.120,1.69,Strong Buy,5.60 (+152.82%),"Mar 14, 2025",Uranium,Energy,2017,NASDAQ
FSTR,L.B. Foster Company,Micro-Cap,27.50,297.83M,537.46M,42.76M,10.83M,3.85,7.14,18.71,n/a,n/a,"18,046",,28.26,28.27,27.42 - 28.26,14.23 - 30.77,0.96,Hold,25.00 (-9.09%),"Mar 4, 2025",Railroads,Industrials,1902,NASDAQ
POLE,Andretti Acquisition Corp. II,Micro-Cap,10.15,297.17M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,034",,10.14,10.15,10.14 - 10.15,9.94 - 11.05,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Sep 6, 2024",NASDAQ
CRNT,Ceragon Networks Ltd.,Micro-Cap,3.460,297.11M,394.19M,24.06M,85.87M,0.27,12.81,11.16,n/a,n/a,"1,998,714",,3.500,3.540,3.400 - 3.520,2.330 - 5.730,1.60,Strong Buy,6.44 (+86.13%),"Feb 11, 2025",Communication Equipment,Technology,"Aug 4, 2000",NASDAQ
EM,Smart Share Global Limited,Micro-Cap,1.150,296.92M,269.75M,8.43M,258.19M,0.03,35.33,17.40,$0.03 (2.30%),"May 31, 2024","413,009",,1.150,1.150,1.140 - 1.160,0.470 - 1.180,0.69,Strong Buy,1.00 (-13.04%),"Mar 27, 2025",Personal Services,Consumer Discretionary,"Apr 1, 2021",NASDAQ
GOSS,"Gossamer Bio, Inc.",Micro-Cap,1.310,296.85M,105.32M,-71.65M,226.60M,-0.32,n/a,n/a,n/a,n/a,"2,101,525",,1.330,1.310,1.240 - 1.370,0.499 - 1.600,1.81,Strong Buy,9.20 (+602.29%),"Mar 4, 2025",Biotechnology,Healthcare,"Feb 8, 2019",NASDAQ
VCIC,Vine Hill Capital Investment Corp.,Micro-Cap,10.38,296.56M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,579",,10.30,10.18,10.30 - 10.38,9.96 - 10.99,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Sep 6, 2024",NASDAQ
JACS,Jackson Acquisition Company II,Micro-Cap,10.01,296.20M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"171,625",,10.02,10.02,10.01 - 10.02,9.94 - 10.41,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Dec 10, 2024",NYSE
OTLY,Oatly Group AB,Micro-Cap,0.495,295.50M,823.67M,-201.95M,596.96M,-0.34,n/a,n/a,n/a,n/a,"4,163,408",,0.530,0.530,0.495 - 0.545,0.300 - 1.340,1.96,Buy,1.20 (+142.42%),"Feb 12, 2025",Packaged Foods,Consumer Staples,"May 20, 2021",NASDAQ
BLDE,"Blade Air Mobility, Inc.",Micro-Cap,3.750,293.68M,241.81M,-51.46M,78.31M,-0.68,n/a,n/a,n/a,n/a,"482,022",,3.630,3.580,3.630 - 3.810,2.450 - 5.170,1.14,Buy,6.00 (+60.0%),"Mar 11, 2025",Airports & Air Services,Industrials,2014,NASDAQ
MVIS,"MicroVision, Inc.",Micro-Cap,1.340,293.48M,8.15M,-85.50M,219.02M,-0.42,n/a,n/a,n/a,n/a,"3,196,067",,1.340,1.360,1.312 - 1.430,0.800 - 2.700,2.86,Buy,2.67 (+99.25%),"Feb 26, 2025",Scientific & Technical Instruments,Technology,"Aug 27, 1996",NASDAQ
EAF,GrafTech International Ltd.,Micro-Cap,1.140,293.28M,538.78M,-131.17M,257.26M,-0.51,n/a,n/a,n/a,n/a,"4,683,560",,1.190,1.100,1.120 - 1.340,0.520 - 2.530,0.98,Hold,1.73 (+51.75%),"Feb 7, 2025",Electrical Equipment & Parts,Industrials,"Aug 9, 1995",NYSE
OSUR,"OraSure Technologies, Inc.",Micro-Cap,3.930,293.16M,224.26M,11.37M,74.59M,0.15,26.02,66.60,n/a,n/a,"342,659",,3.920,3.890,3.855 - 3.950,3.520 - 8.040,0.05,Hold,5.50 (+39.95%),"Feb 25, 2025",Medical Instruments & Supplies,Healthcare,"Nov 12, 1986",NASDAQ
PCYO,Pure Cycle Corporation,Micro-Cap,12.15,292.53M,29.11M,13.49M,24.08M,0.55,22.09,n/a,n/a,n/a,"49,378",,11.85,11.68,11.85 - 12.25,8.94 - 14.63,1.02,n/a,n/a,"Apr 9, 2025",Utilities - Regulated Water,Utilities,1976,NASDAQ
NMG,Nouveau Monde Graphite Inc.,Micro-Cap,1.930,292.31M,n/a,-50.30M,152.26M,-0.56,n/a,n/a,n/a,n/a,"104,156",,2.070,2.049,1.890 - 2.070,1.220 - 3.040,1.64,Strong Buy,3.00 (+55.44%),"Mar 27, 2025",Other Industrial Metals & Mining,Materials,"Sep 28, 2017",NYSE
PAL,"Proficient Auto Logistics, Inc.",Micro-Cap,10.80,291.92M,147.41M,-5.89M,27.03M,-0.43,n/a,34.29,n/a,n/a,"226,766",,11.17,11.06,10.75 - 11.25,7.24 - 21.01,n/a,Strong Buy,16.00 (+48.15%),"Feb 25, 2025",Integrated Freight & Logistics,Industrials,"May 9, 2024",NASDAQ
COFS,"ChoiceOne Financial Services, Inc.",Micro-Cap,32.53,291.65M,91.81M,26.73M,8.97M,3.25,10.01,9.36,$1.12 (3.44%),"Dec 13, 2024","56,449",,32.96,32.76,32.36 - 33.28,21.52 - 38.15,0.65,Strong Buy,39.00 (+19.89%),"Jan 22, 2025",Banks - Regional,Financials,1898,NASDAQ
GRAF,Graf Global Corp.,Micro-Cap,10.14,291.53M,n/a,2.78M,28.75M,0.25,40.88,n/a,n/a,n/a,"4,145",,10.15,10.15,10.14 - 10.15,9.03 - 11.02,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Jun 26, 2024",NYSEAMERICAN
ZBIO,"Zenas BioPharma, Inc.",Micro-Cap,6.97,291.28M,n/a,-128.97M,41.79M,-41.59,n/a,n/a,n/a,n/a,"114,886",,7.07,7.14,6.88 - 7.25,5.83 - 26.25,n/a,Strong Buy,29.20 (+318.94%),"Feb 28, 2025",Biotechnology,Healthcare,"Sep 13, 2024",NASDAQ
LPAA,Launch One Acquisition Corp.,Micro-Cap,10.13,291.24M,n/a,n/a,28.75M,n/a,n/a,n/a,n/a,n/a,661,,10.14,10.12,10.13 - 10.14,9.66 - 10.14,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Jul 12, 2024",NASDAQ
SFST,"Southern First Bancshares, Inc.",Micro-Cap,35.68,291.14M,93.24M,15.53M,8.16M,1.91,18.68,12.35,n/a,n/a,"10,847",,36.19,36.17,35.68 - 36.51,24.98 - 45.91,0.84,n/a,n/a,"Jan 28, 2025",Banks - Regional,Financials,"Oct 28, 1999",NASDAQ
INSE,"Inspired Entertainment, Inc.",Micro-Cap,10.95,291.03M,297.90M,"-300,000",26.58M,-0.01,n/a,14.82,n/a,n/a,"117,721",,10.99,10.93,10.88 - 11.23,7.51 - 11.23,1.40,Buy,14.60 (+33.33%),"Apr 14, 2025",Gambling,Consumer Discretionary,Brooks Pierce,NASDAQ
FLYX,"flyExclusive, Inc.",Micro-Cap,3.720,290.64M,311.87M,-43.12M,78.13M,-2.37,n/a,n/a,n/a,n/a,"197,120",,3.970,3.350,2.730 - 4.380,1.790 - 24.210,0.11,Hold,n/a,n/a,Airlines,Industrials,2015,NYSEAMERICAN
GSRT,GSR III Acquisition Corp.,Micro-Cap,10.19,290.56M,n/a,"-127,590",29.17M,-0.02,n/a,n/a,n/a,n/a,211,,10.19,10.14,10.19 - 10.19,9.97 - 10.20,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Nov 7, 2024",NASDAQ
TRUE,"TrueCar, Inc.",Micro-Cap,3.340,290.44M,170.68M,-27.10M,86.96M,-0.30,n/a,n/a,n/a,n/a,"201,590",,3.400,3.380,3.315 - 3.400,2.560 - 4.620,1.75,Strong Buy,4.50 (+34.73%),"Feb 18, 2025",Internet Content & Information,Communication Services,"May 16, 2014",NASDAQ
HOND,HCM II Acquisition Corp.,Micro-Cap,10.20,290.40M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,300",,10.20,10.20,10.20 - 10.20,9.97 - 11.57,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Aug 16, 2024",NASDAQ
IRBT,iRobot Corporation,Micro-Cap,9.49,290.00M,817.36M,-132.00M,30.56M,-4.57,n/a,n/a,n/a,n/a,"2,618,439",,9.46,9.34,9.21 - 10.10,5.83 - 14.51,0.80,Hold,13.00 (+36.99%),"Feb 24, 2025","Furnishings, Fixtures & Appliances",Consumer Discretionary,1990,NASDAQ
GHG,GreenTree Hospitality Group Ltd.,Micro-Cap,2.850,289.40M,201.17M,28.26M,101.54M,0.28,10.25,n/a,$0.09 (2.98%),"Sep 30, 2024","18,143",,2.672,2.690,2.669 - 2.867,2.310 - 3.480,0.47,n/a,n/a,"Mar 24, 2025",Lodging,Consumer Discretionary,"Mar 27, 2018",NYSE
PCB,PCB Bancorp,Micro-Cap,20.15,289.39M,96.31M,24.98M,14.36M,1.74,11.58,9.89,$0.80 (3.97%),"Feb 14, 2025","8,274",,20.13,20.34,20.06 - 20.44,14.50 - 22.20,0.68,Hold,22.00 (+9.18%),"Jan 30, 2025",Banks - Regional,Financials,2003,NASDAQ
LESL,"Leslie's, Inc.",Micro-Cap,1.560,288.95M,1.33B,-28.39M,185.23M,-0.16,n/a,40.41,n/a,n/a,"6,512,895",,1.580,1.590,1.560 - 1.660,1.560 - 8.050,1.10,Hold,3.24 (+107.69%),"Feb 6, 2025",Specialty Retail,Consumer Discretionary,"Oct 29, 2020",NASDAQ
LPBB,Launch Two Acquisition Corp.,Micro-Cap,10.12,288.08M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,912",,10.12,10.12,10.05 - 10.12,9.97 - 10.34,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Oct 8, 2024",NASDAQ
