symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
NUKK,Nukkleus Inc.,Nano-Cap,17.24,82.59M,10.75M,-27.25M,4.79M,-17.80,n/a,n/a,n/a,n/a,"132,352",,19.90,18.50,17.22 - 19.90,1.30 - 78.32,-6.59,n/a,n/a,"Feb 25, 2025",Software - Application,Technology,2013,NASDAQ
NINE,"Nine Energy Service, Inc.",Nano-Cap,1.180,49.99M,556.75M,-42.54M,42.36M,-1.20,n/a,n/a,n/a,n/a,"493,696",,1.230,1.220,1.160 - 1.240,0.751 - 3.260,3.50,n/a,n/a,"Mar 5, 2025",Oil & Gas Equipment & Services,Energy,"Jan 19, 2018",NYSE
UG,"United-Guardian, Inc.",Nano-Cap,10.88,49.99M,12.31M,3.48M,4.59M,0.76,14.34,n/a,$0.70 (6.43%),"Feb 10, 2025","7,771",,10.64,10.35,10.34 - 10.88,7.02 - 16.25,0.74,n/a,n/a,"Mar 21, 2025",Household & Personal Products,Consumer Staples,1942,NASDAQ
BOLD,"Boundless Bio, Inc.",Nano-Cap,2.240,49.95M,n/a,-61.06M,22.30M,-5.21,n/a,n/a,n/a,n/a,"41,806",,2.310,2.240,2.240 - 2.440,2.130 - 15.240,n/a,Buy,22.50 (+904.46%),"Apr 3, 2025",Biotechnology,Healthcare,"Mar 28, 2024",NASDAQ
ATRA,"Atara Biotherapeutics, Inc.",Nano-Cap,8.59,49.48M,100.44M,-133.16M,5.76M,-22.60,n/a,n/a,n/a,n/a,"57,506",,8.70,8.72,8.29 - 8.98,5.40 - 23.45,0.46,Buy,25.70 (+199.19%),"Mar 27, 2025",Biotechnology,Healthcare,"Oct 16, 2014",NASDAQ
MSW,Ming Shing Group Holdings Limited,Nano-Cap,3.810,49.43M,27.57M,2.33M,12.98M,0.21,18.42,n/a,n/a,n/a,"133,813",,3.490,3.490,3.490 - 3.970,2.120 - 10.580,n/a,n/a,n/a,"Feb 25, 2025",Engineering & Construction,Industrials,"Nov 22, 2024",NASDAQ
ALVR,"AlloVir, Inc.",Nano-Cap,9.90,49.26M,n/a,-100.20M,4.98M,-20.07,n/a,n/a,n/a,n/a,"1,801",,9.87,9.88,9.87 - 9.96,7.96 - 24.15,0.64,n/a,n/a,"Mar 14, 2025",Biotechnology,Healthcare,"Jul 30, 2020",NASDAQ
MOBX,"Mobix Labs, Inc.",Nano-Cap,1.325,49.02M,9.33M,-41.47M,36.99M,-1.27,n/a,n/a,n/a,n/a,"256,217",,1.270,1.310,1.270 - 1.340,0.551 - 3.620,-0.33,n/a,n/a,"Feb 18, 2025",Semiconductors,Technology,2020,NASDAQ
PODC,"PodcastOne, Inc.",Nano-Cap,1.970,48.95M,49.73M,-5.67M,24.85M,-0.24,n/a,n/a,n/a,n/a,"31,375",,2.010,1.960,1.960 - 2.040,1.100 - 2.847,n/a,Strong Buy,4.75 (+141.12%),"Feb 12, 2025",Internet Content & Information,Communication Services,2013,NASDAQ
MAIA,"MAIA Biotechnology, Inc.",Nano-Cap,1.870,48.92M,n/a,-25.94M,26.16M,-1.31,n/a,n/a,n/a,n/a,"67,386",,1.870,1.870,1.830 - 1.910,1.240 - 5.990,0.22,n/a,n/a,"Mar 20, 2025",Biotechnology,Healthcare,"Jul 28, 2022",NYSEAMERICAN
